PLAYER	POS	BODY FAT %	HAND LENGTH (inches)	HAND WIDTH (inches)	HEIGHT W/O SHOES	HEIGHT W/ SHOES	STANDING REACH	WEIGHT (LBS)	WINGSPAN
A.J. Granger	SF	-%	-	-	6' 7.5''		8' 7''	227.0	6' 9.5''
A.J. Guyton	PG-SG	-%	-	-	6' 0.75''		8' 1.5''	175.0	6' 3.75''
Alex Scales	SG-PG	-%	-	-	6' 2.25''		8' 1.5''	184.5	6' 9''
Antonis Fotsis	SF	-%	-	-	6' 9.25''		8' 10''	219.0	6' 8.5''
Aubrey Reese	PG	-%	-	-	5' 10.75''		7' 10.5''	189.0	6' 5.5''
Bootsy Thornton	SG	-%	-	-	6' 3.5''		8' 5.5''	194.5	6' 6.5''
Brandon Kurtz	PF-C	-%	-	-	6' 9.5''		8' 10.5''	257.0	6' 11.25''
Brian Montonati	PF	-%	-	-	6' 8.75''		8' 10''	215.0	6' 10.5''
Caswell Cyrus	PF	-%	-	-	6' 7.75''		8' 11.5''	220.5	7' 2''
Ceedric Goodwyn	SF-PF	-%	-	-	6' 6''		8' 8.5''	238.0	6' 10''
Chris Porter	SF-PF	-%	-	-	6' 5.5''		8' 7.5''	214.0	6' 9.5''
Cory Hightower	SG-SF	-%	-	-	6' 5.5''		8' 5.5''	183.0	6' 11''
Damon Reed	PF-C	-%	-	-	6' 8.5''		8' 8.5''	228.0	6' 9.5''
Dan Langhi	SF	-%	-	-	6' 9''		8' 8''	197.5	6' 8''
Dan McClintock	C-PF	-%	-	-	6' 11''		8' 11''	250.0	7' 1.5''
Donnell Harvey	PF	-%	-	-	6' 7.25''		8' 9.5''	220.0	7' 0.5''
Ed Cota	PG	-%	-	-	6' 0.25''		8' 0.5''	189.0	6' 4''
Eddie Gill	PG	-%	-	-	5' 11.75''		7' 9''	176.0	6' 4''
Eddie House	SG-PG	-%	-	-	5' 11.75''		7' 11''	176.5	6' 3.5''
Eduardo Najera	PF-SF	-%	-	-	6' 6.5''		8' 8.5''	234.5	6' 11.5''
Eric Coley	SG-SF	-%	-	-	6' 4''		8' 6''	205.0	6' 11''
Ernest Brown	C	-%	-	-	6' 10''		9' 1.5''	222.5	7' 1.25''
Gabe Muoneke	PF-SF	-%	-	-	6' 6.25''		8' 9''	244.0	7' 0.5''
Harold Arceneaux	SG-SF	-%	-	-	6' 4.5''		8' 7''	219.0	6' 8.5''
Igor Rakocevic	PG	-%	-	-	6' 2.5''		8' 4''	184.0	6' 5.25''
Jabari Smith	PF-C	-%	-	-	6' 9.75''		9' 1.5''	240.5	7' 2.5''
Jacob Jaacks	PF	-%	-	-	6' 9.25''		8' 9.5''	238.0	6' 11''
Jamal Crawford	PG-SG	-%	-	-	6' 4.5''		8' 6.5''	175.0	6' 10''
Jameel Watkins	PF-C	-%	-	-	6' 9.5''		9' 2''	244.5	7' 6''
Jaquay Walls	PG	-%	-	-	6' 1.25''		8' 0.5''	165.5	6' 2.5''
Jarrett Stephens	PF	-%	-	-	6' 5.25''		8' 7''	258.0	6' 9.25''
Jason Hart	PG	-%	-	-	6' 1.75''		8' 1.5''	181.0	6' 6''
Jimmie Hunter	SG-PG	-%	-	-	6' 3''		8' 4''	170.0	6' 8''
Johnny Hemsley	SG-SF	-%	-	-	6' 2.75''		8' 4.5''	200.0	6' 8''
Julius Doc Robinson	PG	-%	-	-	6' 0''		7' 11.5''	184.0	6' 3.75''
Justin Love	PG-SG	-%	-	-	6' 1.5''		8' 1.5''	205.5	6' 4.5''
Karim Shabazz	C	-%	-	-	6' 11.5''		9' 3.5''	224.0	7' 3''
Kenyon Jones	PF-C	-%	-	-	6' 9''		9' 0''	282.0	7' 1''
Khalid El-Amin	PG	-%	-	-	5' 9''		7' 9''	200.0	6' 1.5''
Lamont Barnes	PF-C	-%	-	-	6' 8.5''		9' 0''	235.5	7' 3.5''
Lavor Postell	SG	-%	-	-	6' 4.5''		8' 5.5''	205.0	6' 8.5''
Malik Allen	PF-C	-%	-	-	6' 8.25''		9' 1''	271.0	7' 2.5''
Marcus Goree	SF-PF	-%	-	-	6' 7.5''		8' 9.5''	239.0	7' 0.5''
Mario Bland	PF	-%	-	-	6' 5.5''		8' 7''	287.0	7' 0''
Mark Karcher	SG	-%	-	-	6' 4''		8' 6.5''	218.0	6' 8''
Mark Madsen	PF	-%	-	-	6' 8''		8' 8.5''	236.5	7' 0.5''
Marko Jaric	SG-SF	-%	-	-	6' 6.5''		8' 8''	210.0	6' 9''
Matt Santangelo	PG	-%	-	-	6' 0''		7' 10''	177.0	6' 3''
Matthew Nielsen	PF	-%	-	-	6' 9''		8' 10''	223.0	6' 10.5''
Michael Hermon	SG-PG	-%	-	-	6' 2.75''		8' 2.5''	195.0	6' 6.25''
Michael Redd	SG-SF	-%	-	-	6' 4.75''		8' 6''	214.0	6' 9''
Mike Smith	SF	-%	-	-	6' 6.5''		8' 7''	198.0	6' 8.5''
Nate Johnson	SF	-%	-	-	6' 6.5''		8' 8''	211.5	6' 8.5''
Ndongo N'diaye	C	-%	-	-	6' 11.5''		9' 4.5''	208.0	7' 3.5''
Nick Sheppard	PF-C	-%	-	-	6' 9.5''		8' 11.5''	273.0	6' 11''
Pepe Sanchez	PG	-%	-	-	6' 3''		8' 0''	194.0	6' 3.5''
Pete Mickeal	SG-SF	-%	-	-	6' 5''		8' 7.5''	222.0	6' 9.5''
Primoz Brezec	C	-%	-	-	7' 0.75''		9' 2''	243.0	7' 2''
Reed Rawlings	SG-SF	-%	-	-	6' 6.25''		8' 8''	218.0	6' 9.25''
Ron Hale	SG-SF	-%	-	-	6' 7.5''		8' 8.5''	202.0	6' 11''
Schea Cotton	SF	-%	-	-	6' 4.25''		8' 4''	219.5	6' 7''
Shaheen Holloway	PG	-%	-	-	5' 9.5''		7' 7''	174.0	5' 10''
Speedy Claxton	PG	-%	-	-	5' 10.5''		7' 10.5''	166.0	6' 0''
Terrance Roberson	SF	-%	-	-	6' 5.5''		8' 7.5''	209.0	6' 8''
Vassil Evtimov	PF	-%	-	-	6' 9.75''		8' 10.5''	262.0	6' 10.5''
