Name,Class,HP,Str,Mag,Skl,Spd,Lck,Def,Res
Marth,	Lord,80,50,0,40,50,70,20,2
Frey,Cavalier/Paladin,80,35,0,55,55,45,20,0
Frey,Dracoknight,70,30,0,50,70,45,15,5
Frey,Archer/Sniper,80,30,0,50,75,45,15,0
Frey,Myrmidon/Swordmaster,90,30,0,50,70,45,10,0
Frey,Mage,60,10,35,50,60,45,0,15
Frey,Sage/Bishop,60,5,25,50,65,45,0,25
Frey,Curate,60,5,15,45,65,45,0,35
Abel,Cavalier/Paladin,65,40,0,50,50,25,20,0
Abel,Dracoknight,55,35,0,45,65,25,15,5
Abel,Archer/Sniper,65,35,0,45,70,25,15,0
Abel,Myrmidon/Swordmaster,75,35,0,45,65,25,10,0
Abel,Mage,45,15,35,45,55,25,0,15
Abel,Sage/Bishop,45,10,25,45,60,25,0,25
Abel,Curate,45,10,15,40,60,25,0,35
Cain,Cavalier/Paladin,75,35,0,50,50,40,20,0
Cain,Dracoknight,65,30,0,45,65,40,15,5
Cain,Archer/Sniper,75,30,0,45,70,40,15,0
Cain,Myrmidon/Swordmaster,85,30,0,45,65,40,10,0
Cain,Mage,55,10,35,45,55,40,0,15
Cain,Sage/Bishop,55,5,25,45,60,40,0,25
Cain,Curate,55,5,15,40,60,40,0,35
Jagen,	Paladin,40,20,0,35,15,30,20,0
Jagen,Dracoknight,30,15,0,30,30,30,15,5
Jagen,Sniper,40,15,0,30,35,30,15,0
Jagen,Swordmaster,50,15,0,30,30,30,10,0
Jagen,Sage/Bishop,20,0,30,30,25,30,0,25
Gordin,Cavalier/Paladin,60,25,0,45,15,40,35,0
Gordin,Dracoknight,50,20,0,40,30,40,30,5
Gordin,Archer/Sniper,60,20,0,40,35,40,30,0
Gordin,Myrmidon/Swordmaster,70,20,0,40,30,40,25,0
Gordin,Mage,40,0,30,40,20,40,5,15
Gordin,Sage/Bishop,40,0,20,40,25,40,5,25
Gordin,Curate,40,0,10,35,25,40,10,35
Draug,Knight/General,60,20,0,40,40,30,30,0
Draug,Mercenary/Hero,60,25,0,45,60,30,5,0
Draug,Fighter/Warrior,80,45,0,35,50,30,0,0
Draug,Hunter/Horseman,40,25,0,35,65,30,5,0
Draug,Pirate/Berserker,80,45,0,35,50,30,0,0
Draug,DarkMage/Sorcerer,20,0,25,40,60,30,0,20
Norne,	Paladin,60,30,0,45,35,30,25,0
Norne,Pegasus/FalconKnight,50,25,0,40,50,30,20,5
Norne,Dracoknight,60,25,0,40,50,30,20,5
Norne,Archer/Sniper,60,25,0,40,55,30,20,0
Norne,Myrmidon/Swordmaster,70,25,0,40,50,30,15,0
Norne,Mage,40,5,30,40,40,30,0,15
Norne,Sage/Bishop,40,0,20,40,45,30,0,25
Norne,Cleric,40,0,10,35,45,30,0,35
Shiida,	Paladin,50,25,0,65,70,70,15,0
Shiida,Pegasus/FalconKnight,40,20,0,60,85,70,10,0
Shiida,Dracoknight,50,20,0,60,85,70,10,0
Shiida,Archer/Sniper,50,20,0,60,90,70,10,0
Shiida,Myrmidon/Swordmaster,60,20,0,60,85,70,5,0
Shiida,Mage,30,0,35,60,75,70,0,10
Shiida,Sage/Bishop,30,0,25,60,80,70,0,20
Shiida,Cleric,30,0,15,55,80,70,0,30
Wrys,Cavalier/Paladin,40,20,0,30,10,40,20,10
Wrys,Dracoknight,30,15,0,25,25,40,15,15
Wrys,Archer/Sniper,40,15,0,25,30,40,15,5
Wrys,Myrmidon/Swordmaster,50,15,0,25,25,40,10,10
Wrys,Mage,20,0,40,25,15,40,0,25
Wrys,Sage/Bishop,20,0,30,25,20,40,0,35
Wrys,Curate,20,0,20,20,20,40,0,45
Ogma,Knight/General,90,35,0,35,10,40,45,0
Ogma,Mercenary/Hero,90,40,0,40,30,40,20,0
