Name,HP,S/M,Skl,Spd,Lck,Def,Res,Total
Merlinus,120,0,90,90,100,30,15,445.0
Nils/Ninian,85,5,5,70,80,30,70,345.0
Hector,90,60,45,35,30,50,25,335.0
Lyn,70,40,60,60,55,20,30,335.0
Nino,55,50,55,60,45,15,50,330.0
Eliwood,80,45,50,40,45,30,35,325.0
Fiora,70,35,60,50,30,20,50,315.0
Oswin,90,40,30,30,35,55,30,310.0
Farina,75,50,40,45,45,25,30,310.0
Matthew,75,30,40,70,50,25,20,310.0
Guy,75,30,50,70,45,15,25,310.0
Florina,60,40,50,55,50,15,35,305.0
Priscilla,45,40,50,40,65,15,50,305.0
Rebecca,60,40,50,60,50,15,30,305.0
Legault,60,25,45,60,60,25,25,300.0
Raven,85,55,40,45,35,25,15,300.0
Lowen,90,30,30,30,50,40,30,300.0
Wil,75,50,50,40,40,20,25,300.0
Serra,50,50,30,40,60,15,55,300.0
Bartre,85,50,35,40,30,30,25,295.0
Lucius,55,60,50,40,20,10,60,295.0
Heath,80,50,50,45,20,30,20,295.0
Kent,85,40,50,45,20,25,25,290.0
Sain,80,60,35,40,35,20,20,290.0
Geitz,85,50,30,40,40,20,20,285.0
Canas,70,45,40,35,25,25,45,285.0
Erk,65,40,40,50,30,20,40,285.0
Dorcas,80,60,40,20,45,25,15,285.0
Rath,80,50,40,50,30,10,25,285.0
Dart,70,65,20,60,35,20,15,285.0
Isadora,75,30,35,50,45,20,25,280.0
Wallace,70,45,40,20,30,35,35,275.0
Louise,60,40,40,40,30,20,30,260.0
Harken,80,35,30,40,20,30,25,260.0
Karel,70,30,50,50,30,10,15,255.0
Karla,60,25,45,55,40,10,20,255.0
Marcus,65,30,50,25,30,15,35,250.0
Pent,50,30,20,40,40,30,35,245.0
Hawkeye,50,40,30,25,40,20,35,240.0
Vaida,60,45,25,40,30,25,15,240.0
Renault,60,40,30,35,15,20,40,240.0
Jaffar,65,15,40,35,20,30,30,235.0
Athos,0,0,0,0,0,0,0,0.0
