Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Artur ,20,Monk ,30,12,15,16,3,4,18,5,6
Artur ,20,Monk ,31,15,17,17,7,5,18,5,6
Artur ,20,Monk ,30,15,15,16,8,5,19,5,6
Artur ,20,Monk ,29,14,14,13,6,4,13,5,6
Artur ,20,Monk ,26,14,17,16,2,4,14,5,6
Artur ,20,Monk ,28,15,18,17,5,4,13,5,6
Artur ,20,Monk ,28,17,12,16,5,4,16,5,6
Artur ,20,Monk ,23,16,16,15,8,3,16,5,6
Artur ,20,Monk ,26,16,12,13,7,6,19,5,6
Artur ,20,Monk ,30,15,14,14,6,6,18,5,6
Artur ,20,Monk ,26,15,16,14,11,6,13,5,6
Artur ,20,Monk ,28,17,15,17,3,5,11,5,6
Artur ,20,Monk ,30,15,13,17,6,4,16,5,6
Artur ,20,Monk ,26,18,16,14,11,6,19,5,6
Artur ,20,Monk ,33,15,13,14,3,3,22,5,6
Artur ,20,Monk ,30,14,16,15,6,5,16,5,6
Artur ,20,Monk ,27,12,14,17,5,6,12,5,6
Artur ,20,Monk ,25,14,11,13,7,5,18,5,6
Artur ,20,Monk ,26,14,14,19,7,5,16,5,6
Artur ,20,Monk ,27,13,15,16,5,6,14,5,6
Artur ,20,Monk ,23,15,15,14,7,6,16,5,6
Artur ,20,Monk ,28,19,13,17,7,5,14,5,6
Artur ,20,Monk ,28,14,13,14,6,4,16,5,6
Artur ,20,Monk ,30,11,17,16,5,6,20,5,6
Artur ,20,Monk ,29,14,16,18,11,4,15,5,6
