Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Colm ,20,Thief ,33,11,7,19,18,8,5,6,6
Colm ,20,Thief ,31,9,12,21,16,8,3,6,6
Colm ,20,Thief ,34,14,10,22,19,5,6,6,6
Colm ,20,Thief ,30,7,13,19,15,4,5,6,6
Colm ,20,Thief ,30,11,9,20,16,12,4,6,6
Colm ,20,Thief ,33,14,13,18,14,7,9,6,6
Colm ,20,Thief ,31,11,9,21,15,5,6,6,6
Colm ,20,Thief ,30,12,11,23,20,4,6,6,6
Colm ,20,Thief ,30,13,15,21,13,8,3,6,6
Colm ,20,Thief ,34,13,10,21,15,9,6,6,6
Colm ,20,Thief ,33,10,13,23,17,7,4,6,6
Colm ,20,Thief ,30,9,15,21,18,9,5,6,6
Colm ,20,Thief ,31,11,8,20,20,8,2,6,6
Colm ,20,Thief ,29,9,9,23,13,7,4,6,6
Colm ,20,Thief ,33,13,8,20,17,9,3,6,6
Colm ,20,Thief ,31,11,11,19,16,6,5,6,6
Colm ,20,Thief ,31,12,9,23,17,6,3,6,6
Colm ,20,Thief ,30,11,14,20,14,10,4,6,6
Colm ,20,Thief ,31,13,12,25,16,9,5,6,6
Colm ,20,Thief ,29,9,11,23,19,9,10,6,6
Colm ,20,Thief ,32,9,9,21,19,7,5,6,6
Colm ,20,Thief ,31,11,10,23,13,11,2,6,6
Colm ,20,Thief ,31,11,9,22,15,8,5,6,6
Colm ,20,Thief ,32,14,13,22,15,7,3,6,6
Colm ,20,Thief ,35,10,9,21,18,7,3,6,6
