Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Cormag ,20,Wyvern Rider ,38,15,15,14,6,15,4,7,11
Cormag ,20,Wyvern Rider ,36,19,13,17,9,15,3,7,11
Cormag ,20,Wyvern Rider ,37,17,9,21,6,19,4,7,11
Cormag ,20,Wyvern Rider ,36,17,15,17,7,13,7,7,11
Cormag ,20,Wyvern Rider ,38,16,13,14,5,15,3,7,11
Cormag ,20,Wyvern Rider ,36,16,14,17,7,13,6,7,11
Cormag ,20,Wyvern Rider ,35,16,11,14,8,15,4,7,11
Cormag ,20,Wyvern Rider ,39,16,12,19,5,13,5,7,11
Cormag ,20,Wyvern Rider ,38,19,14,18,6,14,6,7,11
Cormag ,20,Wyvern Rider ,37,16,15,17,7,14,7,7,11
Cormag ,20,Wyvern Rider ,37,18,18,20,5,15,5,7,11
Cormag ,20,Wyvern Rider ,38,18,16,18,9,14,6,7,11
Cormag ,20,Wyvern Rider ,35,16,13,14,6,17,5,7,11
Cormag ,20,Wyvern Rider ,36,17,12,17,6,14,5,7,11
Cormag ,20,Wyvern Rider ,39,14,13,18,7,15,6,7,11
Cormag ,20,Wyvern Rider ,34,16,14,15,5,14,7,7,11
Cormag ,20,Wyvern Rider ,37,18,14,16,8,18,3,7,11
Cormag ,20,Wyvern Rider ,37,18,16,16,8,14,5,7,11
Cormag ,20,Wyvern Rider ,41,17,11,14,5,13,6,7,11
Cormag ,20,Wyvern Rider ,36,17,12,16,9,15,6,7,11
Cormag ,20,Wyvern Rider ,37,17,13,16,4,15,6,7,11
Cormag ,20,Wyvern Rider ,39,16,13,18,6,16,9,7,11
Cormag ,20,Wyvern Rider ,37,16,14,15,6,14,3,7,11
Cormag ,20,Wyvern Rider ,37,15,15,18,6,17,5,7,11
Cormag ,20,Wyvern Rider ,37,19,15,16,8,16,4,7,11
