Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Dozla ,20,Berserker ,53,24,15,18,13,16,12,6,16
Dozla ,20,Berserker ,50,24,15,17,13,17,12,6,16
Dozla ,20,Berserker ,54,21,14,14,8,17,12,6,16
Dozla ,20,Berserker ,51,21,20,16,11,20,10,6,16
Dozla ,20,Berserker ,50,21,12,20,7,16,14,6,16
Dozla ,20,Berserker ,55,19,16,15,12,16,12,6,16
Dozla ,20,Berserker ,54,23,16,18,13,15,13,6,16
Dozla ,20,Berserker ,53,22,14,13,12,19,14,6,16
Dozla ,20,Berserker ,52,21,17,20,11,19,12,6,16
Dozla ,20,Berserker ,51,22,14,14,12,14,11,6,16
Dozla ,20,Berserker ,54,21,18,15,12,17,13,6,16
Dozla ,20,Berserker ,49,20,14,15,10,15,14,6,16
Dozla ,20,Berserker ,53,20,17,16,9,19,11,6,16
Dozla ,20,Berserker ,52,22,15,19,11,18,15,6,16
Dozla ,20,Berserker ,49,23,17,13,15,16,11,6,16
Dozla ,20,Berserker ,54,21,14,17,12,13,11,6,16
Dozla ,20,Berserker ,53,22,14,18,10,16,12,6,16
Dozla ,20,Berserker ,52,23,17,16,10,14,12,6,16
Dozla ,20,Berserker ,52,27,12,17,11,15,10,6,16
Dozla ,20,Berserker ,48,24,15,13,10,17,11,6,16
Dozla ,20,Berserker ,49,21,14,12,11,15,11,6,16
Dozla ,20,Berserker ,50,28,16,13,13,14,13,6,16
Dozla ,20,Berserker ,50,22,18,16,11,20,14,6,16
Dozla ,20,Berserker ,49,20,16,16,12,16,13,6,16
Dozla ,20,Berserker ,50,24,15,23,11,17,11,6,16
