Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Eirika ,20,Lord ,28,10,18,21,15,7,10,5,5
Eirika ,20,Lord ,28,9,20,24,19,7,11,5,5
Eirika ,20,Lord ,26,15,17,22,17,8,9,5,5
Eirika ,20,Lord ,32,10,21,15,12,11,8,5,5
Eirika ,20,Lord ,30,15,21,22,20,7,6,5,5
Eirika ,20,Lord ,32,10,21,20,18,6,10,5,5
Eirika ,20,Lord ,26,12,17,24,19,13,8,5,5
Eirika ,20,Lord ,30,14,16,22,15,7,5,5,5
Eirika ,20,Lord ,33,12,21,20,17,11,5,5,5
Eirika ,20,Lord ,28,11,17,21,15,7,7,5,5
Eirika ,20,Lord ,29,11,17,22,14,5,7,5,5
Eirika ,20,Lord ,30,15,20,18,16,4,6,5,5
Eirika ,20,Lord ,29,12,19,20,17,10,6,5,5
Eirika ,20,Lord ,30,11,19,24,16,8,3,5,5
Eirika ,20,Lord ,30,9,22,19,16,6,6,5,5
Eirika ,20,Lord ,32,10,22,22,15,10,9,5,5
Eirika ,20,Lord ,31,10,22,22,16,6,7,5,5
Eirika ,20,Lord ,32,10,19,23,21,8,6,5,5
Eirika ,20,Lord ,29,11,19,22,19,10,7,5,5
Eirika ,20,Lord ,30,12,22,20,11,9,3,5,5
Eirika ,20,Lord ,33,13,22,20,13,7,6,5,5
Eirika ,20,Lord ,30,11,20,23,19,9,7,5,5
Eirika ,20,Lord ,30,12,16,21,16,13,7,5,5
Eirika ,20,Lord ,33,14,23,20,14,8,7,5,5
Eirika ,20,Lord ,32,11,20,22,14,6,11,5,5
