Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Ephraim ,20,Lord ,34,18,18,14,16,12,3,5,8
Ephraim ,20,Lord ,36,16,19,18,14,13,5,5,8
Ephraim ,20,Lord ,35,14,16,18,15,11,6,5,8
Ephraim ,20,Lord ,37,17,21,17,13,13,4,5,8
Ephraim ,20,Lord ,36,17,16,18,16,12,5,5,8
Ephraim ,20,Lord ,34,20,19,19,15,12,2,5,8
Ephraim ,20,Lord ,38,19,18,20,17,8,4,5,8
Ephraim ,20,Lord ,36,20,21,18,13,14,8,5,8
Ephraim ,20,Lord ,36,20,19,19,17,13,5,5,8
Ephraim ,20,Lord ,34,16,21,21,15,9,5,5,8
Ephraim ,20,Lord ,32,16,19,19,15,13,7,5,8
Ephraim ,20,Lord ,36,16,18,18,15,13,7,5,8
Ephraim ,20,Lord ,36,17,18,16,13,11,5,5,8
Ephraim ,20,Lord ,35,18,19,19,17,12,8,5,8
Ephraim ,20,Lord ,38,19,16,19,15,9,5,5,8
Ephraim ,20,Lord ,35,17,19,19,15,12,4,5,8
Ephraim ,20,Lord ,34,17,19,17,14,15,5,5,8
Ephraim ,20,Lord ,37,16,17,18,19,10,5,5,8
Ephraim ,20,Lord ,35,15,15,17,16,12,9,5,8
Ephraim ,20,Lord ,35,17,12,22,12,16,10,5,8
Ephraim ,20,Lord ,35,18,19,15,15,10,8,5,8
Ephraim ,20,Lord ,38,17,20,19,13,15,6,5,8
Ephraim ,20,Lord ,36,16,18,16,19,13,5,5,8
Ephraim ,20,Lord ,35,19,15,20,15,15,6,5,8
Ephraim ,20,Lord ,37,16,20,18,14,12,6,5,8
