Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Ewan ,20,Pupil ,32,12,10,18,12,6,4,4,5
Ewan ,20,Pupil ,30,14,9,12,11,4,6,4,5
Ewan ,20,Pupil ,33,15,10,11,13,4,4,4,5
Ewan ,20,Pupil ,30,11,10,14,11,2,6,4,5
Ewan ,20,Pupil ,33,12,8,12,10,6,6,4,5
Ewan ,20,Pupil ,32,10,10,13,8,5,3,4,5
Ewan ,20,Pupil ,29,15,10,15,8,7,5,4,5
Ewan ,20,Pupil ,32,13,9,13,9,4,7,4,5
Ewan ,20,Pupil ,32,12,9,14,14,4,5,4,5
Ewan ,20,Pupil ,32,11,10,15,9,5,3,4,5
Ewan ,20,Pupil ,32,12,6,15,15,6,4,4,5
Ewan ,20,Pupil ,30,12,12,10,9,9,7,4,5
Ewan ,20,Pupil ,34,13,8,13,13,3,4,4,5
Ewan ,20,Pupil ,32,14,7,11,9,3,4,4,5
Ewan ,20,Pupil ,33,15,8,12,16,6,7,4,5
Ewan ,20,Pupil ,31,17,8,14,16,5,7,4,5
Ewan ,20,Pupil ,30,12,10,14,10,3,5,4,5
Ewan ,20,Pupil ,31,15,6,16,11,5,4,4,5
Ewan ,20,Pupil ,34,16,10,14,8,4,4,4,5
Ewan ,20,Pupil ,31,14,9,9,12,7,7,4,5
Ewan ,20,Pupil ,31,14,11,10,12,6,4,4,5
Ewan ,20,Pupil ,32,13,4,11,9,0,7,4,5
Ewan ,20,Pupil ,32,13,6,13,7,8,5,4,5
Ewan ,20,Pupil ,31,14,9,14,14,7,5,4,5
Ewan ,20,Pupil ,32,13,6,12,16,10,4,4,5
