Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Franz ,20,Cavalier ,37,11,11,21,7,14,5,7,9
Franz ,20,Cavalier ,39,12,10,20,12,11,5,7,9
Franz ,20,Cavalier ,38,17,9,17,9,14,7,7,9
Franz ,20,Cavalier ,38,15,15,15,13,11,6,7,9
Franz ,20,Cavalier ,31,15,16,14,13,10,5,7,9
Franz ,20,Cavalier ,36,14,7,14,8,12,3,7,9
Franz ,20,Cavalier ,35,16,12,20,10,13,6,7,9
Franz ,20,Cavalier ,32,15,15,18,9,10,2,7,9
Franz ,20,Cavalier ,37,12,10,16,11,12,3,7,9
Franz ,20,Cavalier ,36,13,9,12,10,10,4,7,9
Franz ,20,Cavalier ,35,11,11,20,10,10,5,7,9
Franz ,20,Cavalier ,35,15,14,14,9,12,3,7,9
Franz ,20,Cavalier ,34,15,14,14,9,9,3,7,9
Franz ,20,Cavalier ,35,14,10,16,8,10,3,7,9
Franz ,20,Cavalier ,37,15,14,16,9,13,3,7,9
Franz ,20,Cavalier ,34,16,11,14,11,12,4,7,9
Franz ,20,Cavalier ,36,11,12,19,11,15,3,7,9
Franz ,20,Cavalier ,38,17,15,15,11,10,5,7,9
Franz ,20,Cavalier ,37,13,14,17,12,11,3,7,9
Franz ,20,Cavalier ,35,14,13,16,12,8,6,7,9
Franz ,20,Cavalier ,36,16,15,15,10,10,7,7,9
Franz ,20,Cavalier ,36,17,9,16,10,8,3,7,9
Franz ,20,Cavalier ,34,14,14,14,8,11,4,7,9
Franz ,20,Cavalier ,32,14,11,17,13,12,5,7,9
Franz ,20,Cavalier ,34,11,11,16,6,13,5,7,9
