Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Gerik ,20,Mercenary ,41,15,14,20,18,13,13,5,13
Gerik ,20,Mercenary ,41,16,14,21,13,17,12,5,13
Gerik ,20,Mercenary ,41,14,14,20,17,14,10,5,13
Gerik ,20,Mercenary ,40,14,13,17,16,13,13,5,13
Gerik ,20,Mercenary ,42,15,13,18,13,12,14,5,13
Gerik ,20,Mercenary ,40,14,13,18,17,10,11,5,13
Gerik ,20,Mercenary ,41,15,14,18,14,13,8,5,13
Gerik ,20,Mercenary ,41,15,15,18,14,13,12,5,13
Gerik ,20,Mercenary ,41,14,14,20,15,15,12,5,13
Gerik ,20,Mercenary ,38,15,16,19,15,11,13,5,13
Gerik ,20,Mercenary ,40,14,14,22,16,16,10,5,13
Gerik ,20,Mercenary ,41,14,14,19,17,13,10,5,13
Gerik ,20,Mercenary ,40,15,15,21,16,13,11,5,13
Gerik ,20,Mercenary ,41,15,16,17,16,15,14,5,13
Gerik ,20,Mercenary ,39,14,14,20,15,13,12,5,13
Gerik ,20,Mercenary ,40,15,13,20,18,14,11,5,13
Gerik ,20,Mercenary ,40,14,13,18,15,12,11,5,13
Gerik ,20,Mercenary ,41,16,13,22,16,12,12,5,13
Gerik ,20,Mercenary ,41,14,15,18,16,14,10,5,13
Gerik ,20,Mercenary ,40,15,16,18,18,10,11,5,13
Gerik ,20,Mercenary ,41,14,14,21,17,13,12,5,13
Gerik ,20,Mercenary ,39,17,13,20,16,13,13,5,13
Gerik ,20,Mercenary ,40,14,13,19,15,13,10,5,13
Gerik ,20,Mercenary ,42,15,15,21,17,11,10,5,13
Gerik ,20,Mercenary ,40,14,13,20,16,14,14,5,13
