Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Hayden ,20,Ranger ,43,23,20,22,19,15,12,7,10
Hayden ,20,Ranger ,43,22,21,22,20,16,15,7,10
Hayden ,20,Ranger ,44,22,18,21,18,13,13,7,10
Hayden ,20,Ranger ,45,18,18,19,17,13,12,7,10
Hayden ,20,Ranger ,46,21,21,18,20,14,12,7,10
Hayden ,20,Ranger ,46,20,20,18,18,14,14,7,10
Hayden ,20,Ranger ,44,21,19,20,18,13,13,7,10
Hayden ,20,Ranger ,44,21,21,22,17,12,14,7,10
Hayden ,20,Ranger ,46,22,20,21,18,13,14,7,10
Hayden ,20,Ranger ,46,20,20,19,20,15,16,7,10
Hayden ,20,Ranger ,47,24,17,21,20,13,14,7,10
Hayden ,20,Ranger ,47,20,21,22,17,14,12,7,10
Hayden ,20,Ranger ,45,22,18,21,18,15,12,7,10
Hayden ,20,Ranger ,47,21,17,19,18,15,13,7,10
Hayden ,20,Ranger ,46,18,20,21,18,15,16,7,10
Hayden ,20,Ranger ,46,21,19,21,18,14,14,7,10
Hayden ,20,Ranger ,47,19,15,17,18,14,13,7,10
Hayden ,20,Ranger ,43,21,23,18,19,12,13,7,10
Hayden ,20,Ranger ,47,20,20,21,18,13,14,7,10
Hayden ,20,Ranger ,44,19,21,19,18,15,15,7,10
Hayden ,20,Ranger ,45,20,20,18,19,15,12,7,10
Hayden ,20,Ranger ,47,23,19,19,20,14,15,7,10
Hayden ,20,Ranger ,45,21,18,20,17,15,14,7,10
Hayden ,20,Ranger ,42,20,18,20,19,13,14,7,10
Hayden ,20,Ranger ,45,22,21,17,18,15,15,7,10
