Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Innes ,20,Sniper ,48,19,20,21,18,16,13,6,9
Innes ,20,Sniper ,49,23,20,18,21,13,15,6,9
Innes ,20,Sniper ,47,22,20,18,20,16,13,6,9
Innes ,20,Sniper ,46,26,20,19,15,18,13,6,9
Innes ,20,Sniper ,49,22,25,19,23,17,13,6,9
Innes ,20,Sniper ,48,24,18,18,19,13,15,6,9
Innes ,20,Sniper ,46,24,23,17,19,15,10,6,9
Innes ,20,Sniper ,47,22,22,21,20,15,15,6,9
Innes ,20,Sniper ,50,20,22,22,22,13,11,6,9
Innes ,20,Sniper ,49,25,22,21,18,16,18,6,9
Innes ,20,Sniper ,50,23,21,18,20,18,14,6,9
Innes ,20,Sniper ,46,22,20,21,18,19,16,6,9
Innes ,20,Sniper ,49,28,20,21,21,15,14,6,9
Innes ,20,Sniper ,47,23,19,23,18,17,16,6,9
Innes ,20,Sniper ,46,23,20,20,21,15,10,6,9
Innes ,20,Sniper ,45,19,21,22,22,13,14,6,9
Innes ,20,Sniper ,45,20,20,16,18,16,13,6,9
Innes ,20,Sniper ,48,23,21,19,21,15,15,6,9
Innes ,20,Sniper ,49,23,23,21,17,16,12,6,9
Innes ,20,Sniper ,49,18,20,19,23,14,12,6,9
Innes ,20,Sniper ,50,21,18,20,18,15,15,6,9
Innes ,20,Sniper ,48,18,20,18,21,17,11,6,9
Innes ,20,Sniper ,47,22,20,21,19,17,14,6,9
Innes ,20,Sniper ,47,19,21,19,17,16,15,6,9
Innes ,20,Sniper ,47,22,20,17,21,19,13,6,9
