Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Knoll ,20,Shaman ,32,21,18,12,4,12,14,5,7
Knoll ,20,Shaman ,32,20,18,13,5,12,13,5,7
Knoll ,20,Shaman ,32,23,16,14,7,12,15,5,7
Knoll ,20,Shaman ,32,22,16,15,5,12,13,5,7
Knoll ,20,Shaman ,32,22,18,15,2,12,15,5,7
Knoll ,20,Shaman ,32,23,18,14,3,12,14,5,7
Knoll ,20,Shaman ,32,22,18,13,1,12,13,5,7
Knoll ,20,Shaman ,32,23,18,15,5,12,13,5,7
Knoll ,20,Shaman ,32,22,16,16,3,12,15,5,7
Knoll ,20,Shaman ,32,20,19,14,6,12,15,5,7
Knoll ,20,Shaman ,32,20,17,13,1,12,12,5,7
Knoll ,20,Shaman ,32,23,19,16,4,12,15,5,7
Knoll ,20,Shaman ,32,22,19,13,2,12,12,5,7
Knoll ,20,Shaman ,32,20,18,15,3,12,13,5,7
Knoll ,20,Shaman ,32,23,18,16,2,12,16,5,7
Knoll ,20,Shaman ,32,23,19,13,2,12,10,5,7
Knoll ,20,Shaman ,32,22,15,16,2,12,17,5,7
Knoll ,20,Shaman ,32,23,18,15,0,12,12,5,7
Knoll ,20,Shaman ,32,23,19,14,2,12,10,5,7
Knoll ,20,Shaman ,32,23,16,15,2,12,12,5,7
Knoll ,20,Shaman ,32,23,19,15,5,12,14,5,7
Knoll ,20,Shaman ,32,21,17,13,1,12,13,5,7
Knoll ,20,Shaman ,32,23,18,14,2,12,14,5,7
Knoll ,20,Shaman ,32,23,18,16,5,12,14,5,7
Knoll ,20,Shaman ,32,23,19,13,4,12,12,5,7
