Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Lute ,20,Mage ,25,18,12,13,17,5,14,5,3
Lute ,20,Mage ,25,19,14,18,17,10,11,5,3
Lute ,20,Mage ,26,16,10,16,14,6,16,5,3
Lute ,20,Mage ,26,20,15,18,18,6,12,5,3
Lute ,20,Mage ,22,19,8,14,17,10,14,5,3
Lute ,20,Mage ,27,19,11,17,14,3,12,5,3
Lute ,20,Mage ,24,19,11,18,18,4,11,5,3
Lute ,20,Mage ,27,17,10,17,18,4,12,5,3
Lute ,20,Mage ,25,19,11,19,20,5,12,5,3
Lute ,20,Mage ,23,19,12,15,16,5,15,5,3
Lute ,20,Mage ,29,19,13,12,15,8,14,5,3
Lute ,20,Mage ,26,17,11,18,14,4,11,5,3
Lute ,20,Mage ,28,17,12,21,16,6,15,5,3
Lute ,20,Mage ,24,23,14,15,15,5,14,5,3
Lute ,20,Mage ,27,21,14,16,16,5,11,5,3
Lute ,20,Mage ,28,22,14,14,20,7,11,5,3
Lute ,20,Mage ,24,18,9,16,22,5,16,5,3
Lute ,20,Mage ,24,16,15,17,17,8,13,5,3
Lute ,20,Mage ,25,18,11,18,16,4,15,5,3
Lute ,20,Mage ,23,16,11,17,14,8,16,5,3
Lute ,20,Mage ,26,22,12,12,16,7,12,5,3
Lute ,20,Mage ,27,20,9,16,17,8,13,5,3
Lute ,20,Mage ,24,22,13,20,15,5,15,5,3
Lute ,20,Mage ,24,18,11,21,16,4,15,5,3
Lute ,20,Mage ,28,19,12,14,20,6,13,5,3
