Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
L’Arachel ,20,Troubadour ,33,11,11,15,18,11,12,6,5
L’Arachel ,20,Troubadour ,34,16,12,19,15,11,12,6,5
L’Arachel ,20,Troubadour ,32,17,9,17,17,8,16,6,5
L’Arachel ,20,Troubadour ,32,16,14,16,17,7,13,6,5
L’Arachel ,20,Troubadour ,33,14,12,16,17,8,16,6,5
L’Arachel ,20,Troubadour ,33,17,9,13,16,11,13,6,5
L’Arachel ,20,Troubadour ,31,12,13,15,16,11,14,6,5
L’Arachel ,20,Troubadour ,34,18,13,19,19,11,13,6,5
L’Arachel ,20,Troubadour ,32,14,13,18,16,9,9,6,5
L’Arachel ,20,Troubadour ,33,16,13,18,19,10,14,6,5
L’Arachel ,20,Troubadour ,32,13,11,19,17,10,11,6,5
L’Arachel ,20,Troubadour ,32,14,8,18,17,9,11,6,5
L’Arachel ,20,Troubadour ,34,15,12,19,16,12,12,6,5
L’Arachel ,20,Troubadour ,31,12,14,18,18,10,10,6,5
L’Arachel ,20,Troubadour ,34,17,11,16,16,13,13,6,5
L’Arachel ,20,Troubadour ,27,14,16,16,19,11,13,6,5
L’Arachel ,20,Troubadour ,33,16,10,19,18,8,13,6,5
L’Arachel ,20,Troubadour ,33,13,12,16,20,8,15,6,5
L’Arachel ,20,Troubadour ,34,12,12,18,15,12,14,6,5
L’Arachel ,20,Troubadour ,34,14,10,16,15,11,13,6,5
L’Arachel ,20,Troubadour ,33,20,12,18,16,11,11,6,5
L’Arachel ,20,Troubadour ,34,13,13,18,18,8,12,6,5
L’Arachel ,20,Troubadour ,33,13,14,18,18,13,12,6,5
L’Arachel ,20,Troubadour ,31,14,12,17,19,7,13,6,5
L’Arachel ,20,Troubadour ,31,15,14,14,21,10,16,6,5
