Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Marisa ,20,Myrmidon ,29,15,17,20,19,6,8,5,5
Marisa ,20,Myrmidon ,30,15,17,19,18,7,10,5,5
Marisa ,20,Myrmidon ,29,13,19,17,18,5,9,5,5
Marisa ,20,Myrmidon ,26,14,17,18,21,5,8,5,5
Marisa ,20,Myrmidon ,29,18,19,17,21,6,13,5,5
Marisa ,20,Myrmidon ,27,15,19,19,20,5,11,5,5
Marisa ,20,Myrmidon ,34,12,22,19,19,7,9,5,5
Marisa ,20,Myrmidon ,27,13,21,16,20,6,11,5,5
Marisa ,20,Myrmidon ,27,17,17,23,20,4,9,5,5
Marisa ,20,Myrmidon ,28,13,17,20,20,7,13,5,5
Marisa ,20,Myrmidon ,32,13,19,19,20,4,9,5,5
Marisa ,20,Myrmidon ,28,14,20,16,23,7,12,5,5
Marisa ,20,Myrmidon ,28,12,21,19,16,5,11,5,5
Marisa ,20,Myrmidon ,30,14,16,18,15,5,13,5,5
Marisa ,20,Myrmidon ,27,15,21,20,19,4,12,5,5
Marisa ,20,Myrmidon ,31,13,19,17,18,6,11,5,5
Marisa ,20,Myrmidon ,30,16,19,21,20,5,11,5,5
Marisa ,20,Myrmidon ,29,16,17,18,18,8,9,5,5
Marisa ,20,Myrmidon ,32,15,18,22,21,4,15,5,5
Marisa ,20,Myrmidon ,29,15,17,21,16,6,14,5,5
Marisa ,20,Myrmidon ,27,13,18,19,19,4,12,5,5
Marisa ,20,Myrmidon ,29,14,17,20,23,6,11,5,5
Marisa ,20,Myrmidon ,29,18,18,19,20,6,11,5,5
Marisa ,20,Myrmidon ,31,13,19,20,21,7,10,5,5
Marisa ,20,Myrmidon ,31,14,14,20,18,6,11,5,5
