Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Natasha ,20,Cleric ,28,13,9,15,17,8,19,5,4
Natasha ,20,Cleric ,27,13,9,17,13,5,19,5,4
Natasha ,20,Cleric ,28,11,8,13,19,4,22,5,4
Natasha ,20,Cleric ,29,12,4,15,20,4,20,5,4
Natasha ,20,Cleric ,25,14,12,15,17,4,19,5,4
Natasha ,20,Cleric ,29,13,5,16,14,3,19,5,4
Natasha ,20,Cleric ,26,15,14,18,15,4,15,5,4
Natasha ,20,Cleric ,28,17,10,15,18,4,20,5,4
Natasha ,20,Cleric ,30,14,7,15,15,7,16,5,4
Natasha ,20,Cleric ,28,12,10,16,18,7,13,5,4
Natasha ,20,Cleric ,26,16,6,18,20,3,14,5,4
Natasha ,20,Cleric ,29,16,11,17,15,6,16,5,4
Natasha ,20,Cleric ,29,12,12,19,18,7,17,5,4
Natasha ,20,Cleric ,32,16,10,14,21,2,15,5,4
Natasha ,20,Cleric ,29,18,7,17,17,4,15,5,4
Natasha ,20,Cleric ,28,11,10,16,19,7,17,5,4
Natasha ,20,Cleric ,29,10,12,15,13,4,13,5,4
Natasha ,20,Cleric ,28,15,9,14,14,7,14,5,4
Natasha ,20,Cleric ,28,14,10,15,19,5,17,5,4
Natasha ,20,Cleric ,27,15,7,16,19,4,18,5,4
Natasha ,20,Cleric ,28,13,7,17,18,4,17,5,4
Natasha ,20,Cleric ,24,10,8,16,18,3,20,5,4
Natasha ,20,Cleric ,27,15,10,15,19,4,14,5,4
Natasha ,20,Cleric ,25,11,12,13,19,3,19,5,4
Natasha ,20,Cleric ,28,9,7,17,17,3,17,5,4
