Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Neimi ,20,Archer ,29,7,13,19,10,4,7,5,5
Neimi ,20,Archer ,24,15,16,18,8,7,9,5,5
Neimi ,20,Archer ,29,13,14,15,15,3,11,5,5
Neimi ,20,Archer ,27,15,18,19,16,5,9,5,5
Neimi ,20,Archer ,28,15,15,19,13,5,5,5,5
Neimi ,20,Archer ,27,15,16,17,11,4,8,5,5
Neimi ,20,Archer ,28,9,14,14,16,5,11,5,5
Neimi ,20,Archer ,29,12,19,19,14,8,9,5,5
Neimi ,20,Archer ,24,11,12,16,17,6,11,5,5
Neimi ,20,Archer ,30,10,20,15,15,6,7,5,5
Neimi ,20,Archer ,23,9,14,15,12,4,11,5,5
Neimi ,20,Archer ,31,14,15,21,14,5,10,5,5
Neimi ,20,Archer ,30,13,13,19,12,8,10,5,5
Neimi ,20,Archer ,25,14,17,17,14,6,9,5,5
Neimi ,20,Archer ,23,13,15,18,14,4,9,5,5
Neimi ,20,Archer ,31,13,23,19,8,8,9,5,5
Neimi ,20,Archer ,23,14,11,19,13,8,7,5,5
Neimi ,20,Archer ,29,11,11,15,17,6,8,5,5
Neimi ,20,Archer ,27,9,14,23,13,5,11,5,5
Neimi ,20,Archer ,27,12,18,11,13,10,9,5,5
Neimi ,20,Archer ,25,14,11,19,12,7,6,5,5
Neimi ,20,Archer ,28,14,13,19,16,8,8,5,5
Neimi ,20,Archer ,28,9,17,21,11,9,9,5,5
Neimi ,20,Archer ,28,12,13,16,16,7,11,5,5
Neimi ,20,Archer ,23,10,14,18,10,5,9,5,5
