Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Ross ,20,Journeyman ,30,16,6,12,12,9,0,4,8
Ross ,20,Journeyman ,30,13,11,10,14,8,2,4,8
Ross ,20,Journeyman ,28,17,10,11,14,9,4,4,8
Ross ,20,Journeyman ,29,14,11,6,19,9,6,4,8
Ross ,20,Journeyman ,29,11,9,6,13,10,3,4,8
Ross ,20,Journeyman ,26,9,13,8,14,10,6,4,8
Ross ,20,Journeyman ,26,14,9,12,18,9,3,4,8
Ross ,20,Journeyman ,28,15,6,10,13,8,2,4,8
Ross ,20,Journeyman ,28,14,6,11,19,7,8,4,8
Ross ,20,Journeyman ,32,13,6,5,14,9,4,4,8
Ross ,20,Journeyman ,28,14,8,11,15,9,3,4,8
Ross ,20,Journeyman ,31,12,11,10,15,7,8,4,8
Ross ,20,Journeyman ,24,14,10,8,15,7,7,4,8
Ross ,20,Journeyman ,28,10,5,8,18,9,3,4,8
Ross ,20,Journeyman ,31,11,7,10,13,8,6,4,8
Ross ,20,Journeyman ,28,13,11,10,13,9,3,4,8
Ross ,20,Journeyman ,29,16,9,9,15,6,2,4,8
Ross ,20,Journeyman ,30,20,10,10,15,9,2,4,8
Ross ,20,Journeyman ,29,17,7,6,17,9,7,4,8
Ross ,20,Journeyman ,27,14,6,9,14,6,3,4,8
Ross ,20,Journeyman ,30,15,9,9,14,9,4,4,8
Ross ,20,Journeyman ,26,14,11,9,20,7,4,4,8
Ross ,20,Journeyman ,29,15,8,9,15,9,4,4,8
Ross ,20,Journeyman ,25,18,16,6,19,9,2,4,8
Ross ,20,Journeyman ,29,15,8,9,12,8,4,4,8
