Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Saleh ,20,Sage ,40,23,28,22,22,9,18,6,8
Saleh ,20,Sage ,41,28,28,20,19,9,23,6,8
Saleh ,20,Sage ,39,23,24,21,21,13,20,6,8
Saleh ,20,Sage ,39,20,24,16,23,9,21,6,8
Saleh ,20,Sage ,37,28,29,20,22,13,22,6,8
Saleh ,20,Sage ,42,23,23,20,24,12,16,6,8
Saleh ,20,Sage ,38,23,28,19,16,11,23,6,8
Saleh ,20,Sage ,38,27,25,22,24,10,19,6,8
Saleh ,20,Sage ,39,27,27,21,21,12,20,6,8
Saleh ,20,Sage ,40,29,26,21,20,10,20,6,8
Saleh ,20,Sage ,38,27,23,19,15,14,21,6,8
Saleh ,20,Sage ,38,24,25,20,20,12,25,6,8
Saleh ,20,Sage ,38,22,26,21,23,12,20,6,8
Saleh ,20,Sage ,35,25,26,18,19,11,19,6,8
Saleh ,20,Sage ,39,26,26,26,20,9,17,6,8
Saleh ,20,Sage ,43,25,23,20,19,9,24,6,8
Saleh ,20,Sage ,37,23,22,23,21,11,21,6,8
Saleh ,20,Sage ,40,25,28,20,21,11,18,6,8
Saleh ,20,Sage ,41,24,24,20,18,8,19,6,8
Saleh ,20,Sage ,40,21,24,20,22,8,21,6,8
Saleh ,20,Sage ,40,26,27,16,21,11,22,6,8
Saleh ,20,Sage ,38,23,26,20,19,9,22,6,8
Saleh ,20,Sage ,36,25,27,22,17,11,20,6,8
Saleh ,20,Sage ,38,31,24,21,23,11,19,6,8
Saleh ,20,Sage ,39,25,26,19,21,11,23,6,8
