Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Selena ,20,Mage Knight ,45,17,15,18,13,12,21,7,6
Selena ,20,Mage Knight ,45,16,18,21,11,14,22,7,6
Selena ,20,Mage Knight ,46,18,14,20,11,17,18,7,6
Selena ,20,Mage Knight ,47,15,16,23,11,15,21,7,6
Selena ,20,Mage Knight ,47,16,16,23,10,14,22,7,6
Selena ,20,Mage Knight ,40,20,18,18,12,13,22,7,6
Selena ,20,Mage Knight ,45,17,15,18,11,13,21,7,6
Selena ,20,Mage Knight ,45,18,16,23,12,17,23,7,6
Selena ,20,Mage Knight ,47,16,15,20,13,16,19,7,6
Selena ,20,Mage Knight ,46,16,20,22,13,12,21,7,6
Selena ,20,Mage Knight ,44,17,18,21,10,13,21,7,6
Selena ,20,Mage Knight ,41,17,15,21,11,18,21,7,6
Selena ,20,Mage Knight ,45,17,19,21,11,12,18,7,6
Selena ,20,Mage Knight ,46,17,17,22,11,15,19,7,6
Selena ,20,Mage Knight ,45,18,18,20,11,16,18,7,6
Selena ,20,Mage Knight ,45,17,14,21,11,14,21,7,6
Selena ,20,Mage Knight ,46,18,18,22,11,12,24,7,6
Selena ,20,Mage Knight ,45,19,18,19,13,13,18,7,6
Selena ,20,Mage Knight ,46,17,18,21,12,13,19,7,6
Selena ,20,Mage Knight ,45,18,18,21,12,18,22,7,6
Selena ,20,Mage Knight ,47,18,17,20,12,12,20,7,6
Selena ,20,Mage Knight ,45,19,18,21,13,15,24,7,6
Selena ,20,Mage Knight ,44,18,19,20,11,13,22,7,6
Selena ,20,Mage Knight ,46,18,17,20,11,15,19,7,6
Selena ,20,Mage Knight ,46,18,17,20,12,15,19,7,6
