Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Seth ,20,Paladin ,48,23,23,17,17,20,17,8,11
Seth ,20,Paladin ,48,21,26,18,17,17,16,8,11
Seth ,20,Paladin ,47,22,20,21,19,14,16,8,11
Seth ,20,Paladin ,46,23,20,19,14,16,11,8,11
Seth ,20,Paladin ,49,24,25,25,16,23,12,8,11
Seth ,20,Paladin ,49,22,21,18,18,16,10,8,11
Seth ,20,Paladin ,46,19,25,19,18,18,19,8,11
Seth ,20,Paladin ,48,24,24,17,18,17,14,8,11
Seth ,20,Paladin ,46,22,22,21,20,18,13,8,11
Seth ,20,Paladin ,48,22,22,21,20,17,13,8,11
Seth ,20,Paladin ,48,19,22,21,18,21,14,8,11
Seth ,20,Paladin ,48,25,23,21,18,17,13,8,11
Seth ,20,Paladin ,46,23,22,21,16,16,17,8,11
Seth ,20,Paladin ,46,26,20,18,20,18,15,8,11
Seth ,20,Paladin ,46,21,24,22,16,19,15,8,11
Seth ,20,Paladin ,48,25,25,18,21,20,11,8,11
Seth ,20,Paladin ,47,25,23,20,18,20,13,8,11
Seth ,20,Paladin ,45,21,24,19,19,18,11,8,11
Seth ,20,Paladin ,48,19,20,19,19,18,9,8,11
Seth ,20,Paladin ,48,25,20,20,20,19,11,8,11
Seth ,20,Paladin ,48,20,19,20,19,15,11,8,11
Seth ,20,Paladin ,47,25,26,19,16,21,15,8,11
Seth ,20,Paladin ,49,24,24,21,18,23,19,8,11
Seth ,20,Paladin ,46,17,22,20,16,16,16,8,11
Seth ,20,Paladin ,49,25,23,16,14,18,14,8,11
