Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Tethys ,20,Dancer ,34,10,12,24,21,9,12,5,5
Tethys ,20,Dancer ,33,8,12,23,17,6,8,5,5
Tethys ,20,Dancer ,31,8,17,24,26,8,11,5,5
Tethys ,20,Dancer ,34,8,16,25,20,8,7,5,5
Tethys ,20,Dancer ,31,9,11,20,22,6,9,5,5
Tethys ,20,Dancer ,34,3,16,21,22,8,7,5,5
Tethys ,20,Dancer ,35,8,14,23,16,8,11,5,5
Tethys ,20,Dancer ,29,4,15,25,19,7,8,5,5
Tethys ,20,Dancer ,32,5,15,25,19,5,11,5,5
Tethys ,20,Dancer ,31,5,14,24,25,8,11,5,5
Tethys ,20,Dancer ,32,6,10,22,19,7,9,5,5
Tethys ,20,Dancer ,35,9,15,28,21,8,8,5,5
Tethys ,20,Dancer ,32,5,10,25,19,5,8,5,5
Tethys ,20,Dancer ,34,8,13,21,17,8,5,5,5
Tethys ,20,Dancer ,33,6,10,22,20,7,8,5,5
Tethys ,20,Dancer ,30,8,8,23,20,9,10,5,5
Tethys ,20,Dancer ,32,4,13,24,20,7,9,5,5
Tethys ,20,Dancer ,30,9,12,26,16,7,9,5,5
Tethys ,20,Dancer ,33,6,15,23,21,6,5,5,5
Tethys ,20,Dancer ,24,8,13,24,20,9,10,5,5
Tethys ,20,Dancer ,33,9,14,21,18,8,9,5,5
Tethys ,20,Dancer ,31,9,12,19,17,5,8,5,5
Tethys ,20,Dancer ,33,5,13,23,21,9,10,5,5
Tethys ,20,Dancer ,32,5,11,23,20,7,6,5,5
Tethys ,20,Dancer ,31,6,11,25,18,10,9,5,5
