Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Valter ,20,Wyvern Knight ,51,23,21,21,4,17,13,8,11
Valter ,20,Wyvern Knight ,52,22,22,20,6,16,13,8,11
Valter ,20,Wyvern Knight ,50,22,20,19,5,15,14,8,11
Valter ,20,Wyvern Knight ,48,23,18,21,5,15,12,8,11
Valter ,20,Wyvern Knight ,50,21,20,21,7,16,13,8,11
Valter ,20,Wyvern Knight ,52,24,18,19,4,17,14,8,11
Valter ,20,Wyvern Knight ,52,23,21,20,8,17,13,8,11
Valter ,20,Wyvern Knight ,52,21,21,21,3,18,14,8,11
Valter ,20,Wyvern Knight ,50,26,21,20,4,16,13,8,11
Valter ,20,Wyvern Knight ,50,24,20,21,4,17,13,8,11
Valter ,20,Wyvern Knight ,50,22,20,19,7,17,15,8,11
Valter ,20,Wyvern Knight ,52,22,21,20,4,17,15,8,11
Valter ,20,Wyvern Knight ,48,23,19,21,4,19,14,8,11
Valter ,20,Wyvern Knight ,52,23,20,20,3,15,15,8,11
Valter ,20,Wyvern Knight ,50,24,21,22,5,17,13,8,11
Valter ,20,Wyvern Knight ,51,24,20,17,4,16,13,8,11
Valter ,20,Wyvern Knight ,52,23,19,22,7,18,15,8,11
Valter ,20,Wyvern Knight ,50,23,20,19,6,15,15,8,11
Valter ,20,Wyvern Knight ,51,23,19,17,7,18,14,8,11
Valter ,20,Wyvern Knight ,52,24,19,18,4,18,14,8,11
Valter ,20,Wyvern Knight ,49,21,20,18,3,14,15,8,11
Valter ,20,Wyvern Knight ,51,23,18,19,6,14,13,8,11
Valter ,20,Wyvern Knight ,52,22,19,21,6,16,15,8,11
Valter ,20,Wyvern Knight ,51,22,21,20,5,18,15,8,11
Valter ,20,Wyvern Knight ,51,22,21,20,6,16,13,8,11
