Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Amelia ,20,Recruit ,31,11,13,14,16,4,7,4,6
Amelia ,20,Recruit ,29,10,10,10,14,5,12,4,6
Amelia ,20,Recruit ,32,12,11,10,14,7,7,4,6
Amelia ,20,Recruit ,31,13,10,11,17,4,7,4,6
Amelia ,20,Recruit ,31,14,9,15,13,9,8,4,6
Amelia ,20,Recruit ,31,9,11,12,17,6,7,4,6
Amelia ,20,Recruit ,33,9,11,15,13,5,9,4,6
Amelia ,20,Recruit ,29,10,14,11,18,4,10,4,6
Amelia ,20,Recruit ,30,11,10,14,15,5,5,4,6
Amelia ,20,Recruit ,32,12,9,16,14,5,7,4,6
Amelia ,20,Recruit ,31,15,10,14,16,7,6,4,6
Amelia ,20,Recruit ,28,10,10,8,18,6,8,4,6
Amelia ,20,Recruit ,29,16,12,8,15,5,7,4,6
Amelia ,20,Recruit ,30,11,9,12,11,8,10,4,6
Amelia ,20,Recruit ,32,12,14,13,13,9,6,4,6
Amelia ,20,Recruit ,30,12,12,11,15,5,10,4,6
Amelia ,20,Recruit ,27,10,8,14,17,5,8,4,6
Amelia ,20,Recruit ,32,9,10,10,12,7,14,4,6
Amelia ,20,Recruit ,27,12,10,11,12,5,8,4,6
Amelia ,20,Recruit ,33,15,11,10,16,5,7,4,6
Amelia ,20,Recruit ,30,13,10,11,15,5,6,4,6
Amelia ,20,Recruit ,31,11,11,13,11,8,4,4,6
Amelia ,20,Recruit ,30,13,10,13,13,4,6,4,6
Amelia ,20,Recruit ,32,14,13,12,13,5,9,4,6
Amelia ,20,Recruit ,30,13,11,16,17,8,6,4,6
