Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Caellach ,20,Hero ,54,25,16,16,19,17,14,6,13
Caellach ,20,Hero ,50,24,18,18,18,18,15,6,13
Caellach ,20,Hero ,53,22,18,18,17,17,15,6,13
Caellach ,20,Hero ,52,22,19,16,16,17,16,6,13
Caellach ,20,Hero ,52,23,20,18,14,18,17,6,13
Caellach ,20,Hero ,52,23,20,18,16,19,15,6,13
Caellach ,20,Hero ,55,22,17,16,16,21,14,6,13
Caellach ,20,Hero ,55,23,17,18,15,18,16,6,13
Caellach ,20,Hero ,52,24,16,17,15,19,17,6,13
Caellach ,20,Hero ,54,23,18,16,17,19,15,6,13
Caellach ,20,Hero ,52,26,15,15,16,19,15,6,13
Caellach ,20,Hero ,55,22,18,19,18,21,14,6,13
Caellach ,20,Hero ,55,26,20,15,16,18,14,6,13
Caellach ,20,Hero ,54,21,18,15,16,21,15,6,13
Caellach ,20,Hero ,55,24,18,18,17,20,14,6,13
Caellach ,20,Hero ,53,24,17,17,16,18,14,6,13
Caellach ,20,Hero ,52,23,18,17,15,19,16,6,13
Caellach ,20,Hero ,51,26,18,17,16,20,15,6,13
Caellach ,20,Hero ,54,22,19,16,16,17,15,6,13
Caellach ,20,Hero ,55,25,17,16,15,20,16,6,13
Caellach ,20,Hero ,55,23,17,17,16,20,15,6,13
Caellach ,20,Hero ,55,21,16,20,15,16,17,6,13
Caellach ,20,Hero ,53,26,18,14,16,16,15,6,13
Caellach ,20,Hero ,54,25,19,19,15,21,16,6,13
Caellach ,20,Hero ,54,25,18,14,14,19,14,6,13
