Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Duessel ,20,Great Knight ,48,22,17,15,13,17,15,6,15
Duessel ,20,Great Knight ,48,22,18,16,9,17,14,6,15
Duessel ,20,Great Knight ,49,22,14,16,10,18,14,6,15
Duessel ,20,Great Knight ,48,22,15,18,8,19,16,6,15
Duessel ,20,Great Knight ,48,22,18,17,13,18,14,6,15
Duessel ,20,Great Knight ,49,25,16,15,12,20,14,6,15
Duessel ,20,Great Knight ,47,22,17,15,12,18,14,6,15
Duessel ,20,Great Knight ,50,23,16,16,10,19,12,6,15
Duessel ,20,Great Knight ,50,23,18,16,13,17,11,6,15
Duessel ,20,Great Knight ,50,26,20,18,12,18,12,6,15
Duessel ,20,Great Knight ,49,24,13,18,9,19,16,6,15
Duessel ,20,Great Knight ,49,25,16,15,10,17,12,6,15
Duessel ,20,Great Knight ,52,24,16,15,9,18,15,6,15
Duessel ,20,Great Knight ,50,23,14,15,10,17,16,6,15
Duessel ,20,Great Knight ,49,19,17,15,9,18,15,6,15
Duessel ,20,Great Knight ,50,26,15,15,11,20,13,6,15
Duessel ,20,Great Knight ,50,24,18,17,9,19,14,6,15
Duessel ,20,Great Knight ,51,21,15,14,11,19,10,6,15
Duessel ,20,Great Knight ,49,25,17,16,11,19,14,6,15
Duessel ,20,Great Knight ,47,24,14,18,10,18,14,6,15
Duessel ,20,Great Knight ,50,23,16,16,11,19,14,6,15
Duessel ,20,Great Knight ,49,22,19,15,8,18,17,6,15
Duessel ,20,Great Knight ,50,23,19,16,8,18,16,6,15
Duessel ,20,Great Knight ,49,22,17,17,10,21,12,6,15
Duessel ,20,Great Knight ,49,23,16,16,12,17,13,6,15
