Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Fado ,20,General ,54,23,18,19,10,24,15,5,18
Fado ,20,General ,53,24,19,18,7,20,15,5,18
Fado ,20,General ,55,23,18,16,7,22,17,5,18
Fado ,20,General ,55,26,20,15,7,23,17,5,18
Fado ,20,General ,53,23,16,19,9,21,17,5,18
Fado ,20,General ,52,21,21,15,8,24,14,5,18
Fado ,20,General ,53,24,19,18,7,22,15,5,18
Fado ,20,General ,55,23,20,15,7,23,17,5,18
Fado ,20,General ,52,26,18,14,6,23,14,5,18
Fado ,20,General ,55,22,20,18,6,23,19,5,18
Fado ,20,General ,53,26,17,16,8,22,15,5,18
Fado ,20,General ,54,22,18,16,6,21,13,5,18
Fado ,20,General ,52,23,19,17,9,22,15,5,18
Fado ,20,General ,52,23,16,18,7,24,15,5,18
Fado ,20,General ,54,24,20,15,8,21,15,5,18
Fado ,20,General ,53,25,18,18,6,21,13,5,18
Fado ,20,General ,54,23,20,17,8,21,16,5,18
Fado ,20,General ,54,25,20,18,6,23,16,5,18
Fado ,20,General ,55,24,20,18,6,22,17,5,18
Fado ,20,General ,55,24,22,16,10,20,14,5,18
Fado ,20,General ,52,23,20,20,11,23,16,5,18
Fado ,20,General ,55,25,18,16,6,21,15,5,18
Fado ,20,General ,54,25,18,14,10,20,14,5,18
Fado ,20,General ,53,25,17,18,7,20,17,5,18
Fado ,20,General ,55,23,19,19,6,20,15,5,18
