Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Forde ,20,Cavalier ,36,11,15,16,16,12,4,7,9
Forde ,20,Cavalier ,36,12,14,15,11,8,8,7,9
Forde ,20,Cavalier ,36,13,14,16,15,10,3,7,9
Forde ,20,Cavalier ,37,15,17,16,11,11,8,7,9
Forde ,20,Cavalier ,36,11,13,13,16,8,5,7,9
Forde ,20,Cavalier ,35,15,13,10,9,11,5,7,9
Forde ,20,Cavalier ,37,10,14,16,12,10,6,7,9
Forde ,20,Cavalier ,35,12,18,11,14,11,4,7,9
Forde ,20,Cavalier ,35,13,13,16,11,11,7,7,9
Forde ,20,Cavalier ,35,11,15,15,14,12,6,7,9
Forde ,20,Cavalier ,37,12,13,11,10,10,6,7,9
Forde ,20,Cavalier ,37,11,14,15,11,10,6,7,9
Forde ,20,Cavalier ,35,10,12,13,12,11,8,7,9
Forde ,20,Cavalier ,37,11,12,17,13,10,7,7,9
Forde ,20,Cavalier ,35,14,16,15,13,12,2,7,9
Forde ,20,Cavalier ,35,14,17,14,11,12,5,7,9
Forde ,20,Cavalier ,34,10,18,13,10,11,6,7,9
Forde ,20,Cavalier ,31,13,15,13,15,14,5,7,9
Forde ,20,Cavalier ,36,13,17,14,9,11,8,7,9
Forde ,20,Cavalier ,37,14,15,15,14,9,4,7,9
Forde ,20,Cavalier ,35,16,18,16,9,14,6,7,9
Forde ,20,Cavalier ,35,11,14,14,13,10,4,7,9
Forde ,20,Cavalier ,35,10,14,13,11,11,5,7,9
Forde ,20,Cavalier ,36,12,12,14,13,12,3,7,9
Forde ,20,Cavalier ,38,11,16,15,13,12,4,7,9
