Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Garcia ,20,Fighter ,41,17,8,10,8,9,4,5,14
Garcia ,20,Fighter ,41,17,12,10,8,9,2,5,14
Garcia ,20,Fighter ,43,19,9,11,10,8,5,5,14
Garcia ,20,Fighter ,40,20,16,11,10,11,2,5,14
Garcia ,20,Fighter ,41,18,11,12,12,12,4,5,14
Garcia ,20,Fighter ,42,18,13,10,7,11,3,5,14
Garcia ,20,Fighter ,40,21,10,11,9,9,3,5,14
Garcia ,20,Fighter ,38,16,14,8,12,10,1,5,14
Garcia ,20,Fighter ,40,20,13,13,10,11,2,5,14
Garcia ,20,Fighter ,40,23,14,8,9,11,4,5,14
Garcia ,20,Fighter ,43,17,13,11,10,9,1,5,14
Garcia ,20,Fighter ,42,16,11,11,9,9,5,5,14
Garcia ,20,Fighter ,41,17,13,12,11,9,4,5,14
Garcia ,20,Fighter ,41,19,9,10,8,9,4,5,14
Garcia ,20,Fighter ,42,20,10,9,13,9,2,5,14
Garcia ,20,Fighter ,40,19,16,10,6,10,4,5,14
Garcia ,20,Fighter ,40,15,14,7,11,10,3,5,14
Garcia ,20,Fighter ,39,17,11,9,10,11,4,5,14
Garcia ,20,Fighter ,44,16,10,10,11,10,2,5,14
Garcia ,20,Fighter ,42,18,17,11,12,9,4,5,14
Garcia ,20,Fighter ,38,15,10,11,9,11,4,5,14
Garcia ,20,Fighter ,40,19,12,10,9,7,9,5,14
Garcia ,20,Fighter ,42,20,13,13,7,12,3,5,14
Garcia ,20,Fighter ,42,18,12,11,9,10,4,5,14
Garcia ,20,Fighter ,43,21,13,7,10,7,5,5,14
