Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Gilliam ,20,Knight ,40,17,13,8,11,15,6,4,14
Gilliam ,20,Knight ,39,17,11,5,8,17,6,4,14
Gilliam ,20,Knight ,40,16,9,6,7,18,9,4,14
Gilliam ,20,Knight ,39,14,13,6,8,21,4,4,14
Gilliam ,20,Knight ,38,15,9,8,9,17,6,4,14
Gilliam ,20,Knight ,39,15,13,7,8,20,6,4,14
Gilliam ,20,Knight ,40,18,11,8,11,21,8,4,14
Gilliam ,20,Knight ,40,18,9,10,8,15,7,4,14
Gilliam ,20,Knight ,41,16,17,10,9,19,8,4,14
Gilliam ,20,Knight ,40,16,12,7,8,15,8,4,14
Gilliam ,20,Knight ,36,19,10,7,6,21,7,4,14
Gilliam ,20,Knight ,40,18,14,5,6,20,4,4,14
Gilliam ,20,Knight ,38,18,14,12,8,17,7,4,14
Gilliam ,20,Knight ,39,19,10,8,7,16,7,4,14
Gilliam ,20,Knight ,36,18,12,12,8,22,7,4,14
Gilliam ,20,Knight ,40,14,9,6,8,17,4,4,14
Gilliam ,20,Knight ,41,17,12,8,7,18,5,4,14
Gilliam ,20,Knight ,39,16,13,6,7,21,7,4,14
Gilliam ,20,Knight ,39,16,11,12,6,17,6,4,14
Gilliam ,20,Knight ,39,15,12,8,7,16,7,4,14
Gilliam ,20,Knight ,41,16,10,10,8,17,8,4,14
Gilliam ,20,Knight ,40,18,9,7,7,17,5,4,14
Gilliam ,20,Knight ,41,18,10,10,7,16,9,4,14
Gilliam ,20,Knight ,41,20,11,9,4,17,8,4,14
Gilliam ,20,Knight ,41,18,11,9,8,15,4,4,14
