Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Ismaire ,20,Swordmaster ,42,21,28,28,14,8,18,6,7
Ismaire ,20,Swordmaster ,42,20,25,25,15,9,18,6,7
Ismaire ,20,Swordmaster ,42,17,24,28,16,8,18,6,7
Ismaire ,20,Swordmaster ,40,19,26,29,16,9,22,6,7
Ismaire ,20,Swordmaster ,43,21,28,26,14,9,19,6,7
Ismaire ,20,Swordmaster ,44,20,25,27,15,9,20,6,7
Ismaire ,20,Swordmaster ,43,21,26,30,13,10,19,6,7
Ismaire ,20,Swordmaster ,43,17,27,30,15,9,19,6,7
Ismaire ,20,Swordmaster ,42,18,25,27,15,11,16,6,7
Ismaire ,20,Swordmaster ,42,18,27,27,17,9,17,6,7
Ismaire ,20,Swordmaster ,42,21,24,29,13,8,16,6,7
Ismaire ,20,Swordmaster ,42,22,27,29,17,10,21,6,7
Ismaire ,20,Swordmaster ,44,22,26,26,13,13,19,6,7
Ismaire ,20,Swordmaster ,42,21,26,26,15,11,17,6,7
Ismaire ,20,Swordmaster ,43,23,25,28,17,10,18,6,7
Ismaire ,20,Swordmaster ,43,21,26,25,15,12,18,6,7
Ismaire ,20,Swordmaster ,41,20,29,25,17,10,17,6,7
Ismaire ,20,Swordmaster ,41,21,24,29,14,9,17,6,7
Ismaire ,20,Swordmaster ,40,23,29,29,17,11,17,6,7
Ismaire ,20,Swordmaster ,43,22,27,28,16,9,19,6,7
Ismaire ,20,Swordmaster ,40,19,24,31,18,9,21,6,7
Ismaire ,20,Swordmaster ,43,22,26,27,17,12,19,6,7
Ismaire ,20,Swordmaster ,43,21,27,28,14,12,18,6,7
Ismaire ,20,Swordmaster ,43,20,26,28,18,11,20,6,7
Ismaire ,20,Swordmaster ,42,21,26,25,15,11,18,6,7
