Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Joshua ,20,Myrmidon ,35,10,22,20,13,8,7,5,8
Joshua ,20,Myrmidon ,36,15,21,23,10,7,4,5,8
Joshua ,20,Myrmidon ,32,12,20,21,12,7,4,5,8
Joshua ,20,Myrmidon ,37,13,21,20,13,8,4,5,8
Joshua ,20,Myrmidon ,35,13,23,21,8,5,2,5,8
Joshua ,20,Myrmidon ,35,13,21,24,11,6,5,5,8
Joshua ,20,Myrmidon ,31,14,23,23,15,8,5,5,8
Joshua ,20,Myrmidon ,38,14,23,22,13,8,4,5,8
Joshua ,20,Myrmidon ,37,15,21,24,14,8,4,5,8
Joshua ,20,Myrmidon ,35,14,22,23,11,8,2,5,8
Joshua ,20,Myrmidon ,35,14,20,21,11,6,9,5,8
Joshua ,20,Myrmidon ,34,15,21,22,11,6,7,5,8
Joshua ,20,Myrmidon ,35,12,21,23,13,7,5,5,8
Joshua ,20,Myrmidon ,37,12,19,22,12,10,3,5,8
Joshua ,20,Myrmidon ,37,14,18,27,13,9,3,5,8
Joshua ,20,Myrmidon ,37,12,20,24,14,10,3,5,8
Joshua ,20,Myrmidon ,38,12,22,24,9,7,4,5,8
Joshua ,20,Myrmidon ,37,15,23,24,16,8,6,5,8
Joshua ,20,Myrmidon ,35,17,19,24,15,8,5,5,8
Joshua ,20,Myrmidon ,38,14,19,22,16,8,6,5,8
Joshua ,20,Myrmidon ,36,12,21,20,11,6,7,5,8
Joshua ,20,Myrmidon ,37,12,22,22,9,8,4,5,8
Joshua ,20,Myrmidon ,36,12,21,25,13,8,5,5,8
Joshua ,20,Myrmidon ,34,12,18,20,14,7,6,5,8
Joshua ,20,Myrmidon ,36,14,19,25,13,8,4,5,8
