Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Kyle ,20,Cavalier ,40,16,14,14,7,16,3,7,10
Kyle ,20,Cavalier ,39,14,15,12,8,12,6,7,10
Kyle ,20,Cavalier ,40,17,12,14,10,12,4,7,10
Kyle ,20,Cavalier ,37,17,12,10,10,10,9,7,10
Kyle ,20,Cavalier ,39,17,12,12,9,13,3,7,10
Kyle ,20,Cavalier ,38,16,12,17,7,13,3,7,10
Kyle ,20,Cavalier ,38,18,14,13,9,12,5,7,10
Kyle ,20,Cavalier ,39,16,14,11,9,14,5,7,10
Kyle ,20,Cavalier ,39,17,13,12,7,14,2,7,10
Kyle ,20,Cavalier ,39,15,12,11,11,11,6,7,10
Kyle ,20,Cavalier ,38,15,14,13,6,14,3,7,10
Kyle ,20,Cavalier ,38,15,18,14,10,11,4,7,10
Kyle ,20,Cavalier ,37,16,14,15,9,14,2,7,10
Kyle ,20,Cavalier ,39,18,12,12,8,12,1,7,10
Kyle ,20,Cavalier ,37,17,12,13,12,12,5,7,10
Kyle ,20,Cavalier ,39,12,11,12,9,13,4,7,10
Kyle ,20,Cavalier ,37,15,10,12,8,13,3,7,10
Kyle ,20,Cavalier ,39,17,13,12,9,14,5,7,10
Kyle ,20,Cavalier ,36,17,11,16,7,12,7,7,10
Kyle ,20,Cavalier ,40,18,12,13,7,14,4,7,10
Kyle ,20,Cavalier ,39,20,13,13,9,13,2,7,10
Kyle ,20,Cavalier ,40,15,11,12,12,13,6,7,10
Kyle ,20,Cavalier ,39,15,11,13,9,14,3,7,10
Kyle ,20,Cavalier ,39,16,13,14,7,14,3,7,10
Kyle ,20,Cavalier ,37,18,9,11,8,12,1,7,10
