Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Lyon ,20,Necromancer ,44,24,17,14,9,17,19,6,7
Lyon ,20,Necromancer ,44,25,18,14,8,17,19,6,7
Lyon ,20,Necromancer ,44,24,17,16,8,17,19,6,7
Lyon ,20,Necromancer ,44,24,14,13,8,17,19,6,7
Lyon ,20,Necromancer ,44,26,14,14,8,17,19,6,7
Lyon ,20,Necromancer ,44,24,18,16,7,17,19,6,7
Lyon ,20,Necromancer ,44,27,16,13,7,17,19,6,7
Lyon ,20,Necromancer ,44,23,18,13,9,17,19,6,7
Lyon ,20,Necromancer ,44,25,15,12,6,17,19,6,7
Lyon ,20,Necromancer ,44,25,17,15,9,17,19,6,7
Lyon ,20,Necromancer ,44,24,15,11,8,17,19,6,7
Lyon ,20,Necromancer ,44,24,15,13,5,17,19,6,7
Lyon ,20,Necromancer ,44,24,15,13,7,17,19,6,7
Lyon ,20,Necromancer ,44,23,18,15,6,17,19,6,7
Lyon ,20,Necromancer ,44,26,17,15,6,17,19,6,7
Lyon ,20,Necromancer ,44,25,17,13,7,17,19,6,7
Lyon ,20,Necromancer ,44,25,15,12,7,17,19,6,7
Lyon ,20,Necromancer ,44,26,16,14,7,17,19,6,7
Lyon ,20,Necromancer ,44,25,15,13,8,17,19,6,7
Lyon ,20,Necromancer ,44,25,16,14,8,17,19,6,7
Lyon ,20,Necromancer ,44,24,15,14,6,17,19,6,7
Lyon ,20,Necromancer ,44,26,15,12,8,17,19,6,7
Lyon ,20,Necromancer ,44,27,16,11,7,17,19,6,7
Lyon ,20,Necromancer ,44,23,17,14,8,17,19,6,7
Lyon ,20,Necromancer ,44,25,14,14,5,17,19,6,7
