Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Moulder ,20,Priest ,29,9,15,20,9,4,7,5,9
Moulder ,20,Priest ,28,11,17,18,13,6,10,5,9
Moulder ,20,Priest ,32,11,17,17,12,4,11,5,9
Moulder ,20,Priest ,27,10,17,20,6,5,12,5,9
Moulder ,20,Priest ,26,13,16,17,8,7,9,5,9
Moulder ,20,Priest ,28,9,14,18,6,8,8,5,9
Moulder ,20,Priest ,26,10,17,19,9,4,13,5,9
Moulder ,20,Priest ,32,8,15,22,13,7,9,5,9
Moulder ,20,Priest ,31,11,16,16,8,4,10,5,9
Moulder ,20,Priest ,31,12,15,23,10,6,12,5,9
Moulder ,20,Priest ,28,6,13,22,7,5,11,5,9
Moulder ,20,Priest ,27,9,16,18,10,4,7,5,9
Moulder ,20,Priest ,31,9,14,16,10,6,12,5,9
Moulder ,20,Priest ,31,10,13,21,8,4,12,5,9
Moulder ,20,Priest ,30,11,18,22,9,6,13,5,9
Moulder ,20,Priest ,26,8,14,21,9,5,8,5,9
Moulder ,20,Priest ,27,11,15,20,9,4,9,5,9
Moulder ,20,Priest ,26,9,15,19,6,3,8,5,9
Moulder ,20,Priest ,31,8,15,19,11,5,11,5,9
Moulder ,20,Priest ,30,11,15,22,10,6,6,5,9
Moulder ,20,Priest ,28,8,15,21,9,9,9,5,9
Moulder ,20,Priest ,29,11,18,15,10,4,11,5,9
Moulder ,20,Priest ,29,12,12,23,8,6,12,5,9
Moulder ,20,Priest ,29,8,15,20,10,5,10,5,9
Moulder ,20,Priest ,33,7,16,19,8,3,8,5,9
