Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Myrrh ,20,Manakete ,22,8,14,15,8,3,15,6,5
Myrrh ,20,Manakete ,28,11,11,20,6,7,12,6,5
Myrrh ,20,Manakete ,25,11,8,20,7,5,18,6,5
Myrrh ,20,Manakete ,27,8,13,18,8,5,18,6,5
Myrrh ,20,Manakete ,29,12,10,16,4,6,13,6,5
Myrrh ,20,Manakete ,28,9,12,18,7,7,19,6,5
Myrrh ,20,Manakete ,29,14,8,18,9,6,15,6,5
Myrrh ,20,Manakete ,30,11,11,15,9,6,11,6,5
Myrrh ,20,Manakete ,26,6,12,14,8,5,15,6,5
Myrrh ,20,Manakete ,27,7,12,20,9,5,10,6,5
Myrrh ,20,Manakete ,30,10,12,17,8,9,17,6,5
Myrrh ,20,Manakete ,26,12,12,19,11,4,18,6,5
Myrrh ,20,Manakete ,27,10,15,20,10,4,18,6,5
Myrrh ,20,Manakete ,28,11,11,15,8,8,18,6,5
Myrrh ,20,Manakete ,29,13,6,16,7,10,20,6,5
Myrrh ,20,Manakete ,27,12,12,16,8,6,17,6,5
Myrrh ,20,Manakete ,30,9,9,16,13,4,14,6,5
Myrrh ,20,Manakete ,26,15,8,19,9,9,18,6,5
Myrrh ,20,Manakete ,30,10,12,16,7,8,17,6,5
Myrrh ,20,Manakete ,30,13,11,14,10,8,16,6,5
Myrrh ,20,Manakete ,29,11,13,17,11,5,17,6,5
Myrrh ,20,Manakete ,27,9,6,14,8,6,17,6,5
Myrrh ,20,Manakete ,31,11,6,16,8,5,19,6,5
Myrrh ,20,Manakete ,28,11,9,18,6,7,13,6,5
Myrrh ,20,Manakete ,28,7,10,15,12,8,17,6,5
