Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Orson ,20,Paladin ,53,20,19,16,6,17,13,8,12
Orson ,20,Paladin ,53,21,18,17,7,16,14,8,12
Orson ,20,Paladin ,55,22,17,17,6,17,14,8,12
Orson ,20,Paladin ,53,22,19,17,6,14,14,8,12
Orson ,20,Paladin ,51,22,18,17,6,15,16,8,12
Orson ,20,Paladin ,53,20,18,17,7,14,15,8,12
Orson ,20,Paladin ,52,21,16,17,9,14,13,8,12
Orson ,20,Paladin ,52,21,20,15,6,16,15,8,12
Orson ,20,Paladin ,54,21,17,15,8,15,15,8,12
Orson ,20,Paladin ,52,21,20,16,6,16,13,8,12
Orson ,20,Paladin ,53,22,21,18,7,17,15,8,12
Orson ,20,Paladin ,51,23,18,16,7,15,15,8,12
Orson ,20,Paladin ,55,20,16,16,8,15,13,8,12
Orson ,20,Paladin ,53,21,19,16,7,16,13,8,12
Orson ,20,Paladin ,54,23,17,16,7,17,14,8,12
Orson ,20,Paladin ,53,22,20,19,6,14,13,8,12
Orson ,20,Paladin ,55,22,19,17,8,16,14,8,12
Orson ,20,Paladin ,50,21,21,17,7,15,14,8,12
Orson ,20,Paladin ,53,23,18,17,7,17,14,8,12
Orson ,20,Paladin ,55,20,16,18,9,18,14,8,12
Orson ,20,Paladin ,51,22,19,17,8,16,15,8,12
Orson ,20,Paladin ,54,20,19,17,7,15,13,8,12
Orson ,20,Paladin ,52,20,19,15,7,14,16,8,12
Orson ,20,Paladin ,54,22,18,16,6,15,13,8,12
Orson ,20,Paladin ,55,21,18,16,8,16,13,8,12
