Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Rennac ,20,Rogue ,44,20,24,24,8,19,11,6,7
Rennac ,20,Rogue ,45,23,22,19,8,20,18,6,7
Rennac ,20,Rogue ,47,21,22,22,7,17,16,6,7
Rennac ,20,Rogue ,45,23,25,26,14,17,16,6,7
Rennac ,20,Rogue ,44,20,23,23,8,16,17,6,7
Rennac ,20,Rogue ,44,22,27,24,10,20,18,6,7
Rennac ,20,Rogue ,45,18,20,23,10,13,20,6,7
Rennac ,20,Rogue ,47,18,22,23,9,19,18,6,7
Rennac ,20,Rogue ,43,17,22,20,9,16,15,6,7
Rennac ,20,Rogue ,45,17,26,23,8,16,18,6,7
Rennac ,20,Rogue ,44,24,28,20,8,19,18,6,7
Rennac ,20,Rogue ,45,23,22,21,11,17,17,6,7
Rennac ,20,Rogue ,42,21,22,22,6,19,15,6,7
Rennac ,20,Rogue ,44,19,24,22,9,17,16,6,7
Rennac ,20,Rogue ,45,23,20,22,10,16,15,6,7
Rennac ,20,Rogue ,46,19,23,23,7,19,17,6,7
Rennac ,20,Rogue ,46,21,24,21,11,24,16,6,7
Rennac ,20,Rogue ,45,21,27,24,7,15,17,6,7
Rennac ,20,Rogue ,46,20,27,25,9,17,18,6,7
Rennac ,20,Rogue ,46,20,25,23,8,14,18,6,7
Rennac ,20,Rogue ,45,22,24,22,7,20,18,6,7
Rennac ,20,Rogue ,43,20,21,21,8,20,15,6,7
Rennac ,20,Rogue ,45,20,26,22,11,18,17,6,7
Rennac ,20,Rogue ,46,20,26,24,10,19,16,6,7
Rennac ,20,Rogue ,44,18,23,20,6,18,17,6,7
