Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Riev ,20,Bishop ,53,15,23,22,11,18,19,6,7
Riev ,20,Bishop ,51,14,22,21,11,17,20,6,7
Riev ,20,Bishop ,53,15,23,21,9,17,18,6,7
Riev ,20,Bishop ,52,16,24,23,10,16,19,6,7
Riev ,20,Bishop ,52,16,24,22,10,17,18,6,7
Riev ,20,Bishop ,52,15,23,20,11,17,19,6,7
Riev ,20,Bishop ,51,16,25,21,10,17,18,6,7
Riev ,20,Bishop ,51,16,22,22,10,17,21,6,7
Riev ,20,Bishop ,53,15,24,23,11,17,18,6,7
Riev ,20,Bishop ,53,16,25,19,10,17,19,6,7
Riev ,20,Bishop ,53,16,23,21,12,16,20,6,7
Riev ,20,Bishop ,52,15,23,21,10,16,19,6,7
Riev ,20,Bishop ,50,15,24,22,10,16,19,6,7
Riev ,20,Bishop ,50,16,24,20,9,16,19,6,7
Riev ,20,Bishop ,53,15,24,23,11,17,21,6,7
Riev ,20,Bishop ,53,16,24,22,9,16,21,6,7
Riev ,20,Bishop ,51,16,23,19,11,17,19,6,7
Riev ,20,Bishop ,53,15,24,21,11,16,20,6,7
Riev ,20,Bishop ,53,15,24,20,11,17,19,6,7
Riev ,20,Bishop ,51,16,23,21,11,17,19,6,7
Riev ,20,Bishop ,51,15,22,20,13,16,18,6,7
Riev ,20,Bishop ,53,14,25,19,10,18,20,6,7
Riev ,20,Bishop ,51,14,24,20,10,16,20,6,7
Riev ,20,Bishop ,52,15,24,21,9,16,19,6,7
Riev ,20,Bishop ,52,16,24,21,11,17,19,6,7
