Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Syrene ,20,Falcoknight ,40,19,19,24,16,14,15,8,7
Syrene ,20,Falcoknight ,44,21,25,26,15,13,16,8,7
Syrene ,20,Falcoknight ,45,25,25,21,14,14,19,8,7
Syrene ,20,Falcoknight ,40,23,19,23,15,19,16,8,7
Syrene ,20,Falcoknight ,43,23,22,21,16,15,16,8,7
Syrene ,20,Falcoknight ,41,22,21,25,14,16,16,8,7
Syrene ,20,Falcoknight ,44,24,22,24,14,15,17,8,7
Syrene ,20,Falcoknight ,43,22,25,21,15,16,16,8,7
Syrene ,20,Falcoknight ,45,23,18,28,15,17,15,8,7
Syrene ,20,Falcoknight ,45,26,21,22,13,16,17,8,7
Syrene ,20,Falcoknight ,40,22,21,27,17,16,16,8,7
Syrene ,20,Falcoknight ,45,23,19,23,15,12,16,8,7
Syrene ,20,Falcoknight ,43,19,21,26,16,16,17,8,7
Syrene ,20,Falcoknight ,42,18,21,26,15,16,15,8,7
Syrene ,20,Falcoknight ,45,20,19,24,14,17,14,8,7
Syrene ,20,Falcoknight ,42,24,22,22,17,14,20,8,7
Syrene ,20,Falcoknight ,42,21,22,23,19,15,17,8,7
Syrene ,20,Falcoknight ,42,21,21,24,19,15,15,8,7
Syrene ,20,Falcoknight ,39,21,18,21,13,14,17,8,7
Syrene ,20,Falcoknight ,44,20,24,29,18,15,13,8,7
Syrene ,20,Falcoknight ,44,24,20,26,18,16,14,8,7
Syrene ,20,Falcoknight ,42,22,23,29,19,13,14,8,7
Syrene ,20,Falcoknight ,45,21,22,26,16,16,17,8,7
Syrene ,20,Falcoknight ,40,17,22,24,15,20,17,8,7
Syrene ,20,Falcoknight ,40,23,19,25,15,14,13,8,7
