Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Tana ,20,Pegasus Knight ,29,12,12,18,17,11,9,7,5
Tana ,20,Pegasus Knight ,30,11,14,18,16,9,11,7,5
Tana ,20,Pegasus Knight ,29,17,19,20,16,12,10,7,5
Tana ,20,Pegasus Knight ,33,11,14,20,14,11,10,7,5
Tana ,20,Pegasus Knight ,30,9,19,21,11,9,7,7,5
Tana ,20,Pegasus Knight ,32,12,16,17,16,13,11,7,5
Tana ,20,Pegasus Knight ,30,13,17,20,19,6,8,7,5
Tana ,20,Pegasus Knight ,31,12,13,19,15,10,9,7,5
Tana ,20,Pegasus Knight ,31,12,13,17,15,10,11,7,5
Tana ,20,Pegasus Knight ,26,13,15,20,14,9,11,7,5
Tana ,20,Pegasus Knight ,31,13,20,21,15,12,11,7,5
Tana ,20,Pegasus Knight ,31,13,16,22,14,11,10,7,5
Tana ,20,Pegasus Knight ,26,12,14,17,16,10,9,7,5
Tana ,20,Pegasus Knight ,30,11,15,21,19,10,11,7,5
Tana ,20,Pegasus Knight ,30,13,16,21,16,9,8,7,5
Tana ,20,Pegasus Knight ,29,14,12,24,16,11,10,7,5
Tana ,20,Pegasus Knight ,31,12,12,23,16,10,12,7,5
Tana ,20,Pegasus Knight ,29,15,16,22,14,8,11,7,5
Tana ,20,Pegasus Knight ,30,12,17,20,18,10,9,7,5
Tana ,20,Pegasus Knight ,31,14,16,19,17,12,7,7,5
Tana ,20,Pegasus Knight ,30,18,16,17,16,11,10,7,5
Tana ,20,Pegasus Knight ,28,13,12,19,16,11,12,7,5
Tana ,20,Pegasus Knight ,29,15,17,19,17,10,9,7,5
Tana ,20,Pegasus Knight ,32,10,15,19,16,11,10,7,5
Tana ,20,Pegasus Knight ,28,10,15,21,17,10,8,7,5
