Name ,Lv ,Class ,HP ,Str ,Skl ,Spd ,Lck ,Def ,Res ,Mov ,Con 
Vanessa ,20,Pegasus Knight ,28,12,16,21,10,15,12,7,5
Vanessa ,20,Pegasus Knight ,29,10,19,19,9,12,10,7,5
Vanessa ,20,Pegasus Knight ,30,16,17,17,8,8,7,7,5
Vanessa ,20,Pegasus Knight ,32,16,20,17,6,13,9,7,5
Vanessa ,20,Pegasus Knight ,29,16,19,20,10,11,9,7,5
Vanessa ,20,Pegasus Knight ,29,14,19,18,11,10,12,7,5
Vanessa ,20,Pegasus Knight ,32,12,14,19,12,14,8,7,5
Vanessa ,20,Pegasus Knight ,29,12,14,17,8,11,11,7,5
Vanessa ,20,Pegasus Knight ,31,12,20,20,8,10,8,7,5
Vanessa ,20,Pegasus Knight ,27,11,19,15,10,7,7,7,5
Vanessa ,20,Pegasus Knight ,30,15,18,19,7,10,12,7,5
Vanessa ,20,Pegasus Knight ,36,13,17,19,9,8,11,7,5
Vanessa ,20,Pegasus Knight ,29,14,16,17,9,11,10,7,5
Vanessa ,20,Pegasus Knight ,32,10,19,21,11,10,6,7,5
Vanessa ,20,Pegasus Knight ,35,11,19,20,8,12,12,7,5
Vanessa ,20,Pegasus Knight ,29,13,15,15,9,13,10,7,5
Vanessa ,20,Pegasus Knight ,34,12,16,17,7,13,9,7,5
Vanessa ,20,Pegasus Knight ,27,11,16,22,10,13,10,7,5
Vanessa ,20,Pegasus Knight ,33,14,18,21,11,11,7,7,5
Vanessa ,20,Pegasus Knight ,32,13,15,20,9,10,12,7,5
Vanessa ,20,Pegasus Knight ,30,10,15,24,6,11,9,7,5
Vanessa ,20,Pegasus Knight ,28,10,13,20,8,9,10,7,5
Vanessa ,20,Pegasus Knight ,33,11,15,19,7,8,10,7,5
Vanessa ,20,Pegasus Knight ,31,11,20,20,4,9,9,7,5
Vanessa ,20,Pegasus Knight ,29,15,13,17,11,14,9,7,5
