Class 	HP 	S/M 	Skl 	Spd 	Lck 	Def 	Res 	Mov 	Con
Non-promoted (foot) 	60 	20 	20 	20 	30 	20 	20 	15 	20
Non-promoted (mounted) 	60 	20 	20 	20 	30 	20 	20 	15 	25
Great Lord (Ephraim) 	60 	27 	26 	24 	30 	23 	23 	15 	25
Great Lord (Eirika) 	60 	24 	29 	30 	30 	22 	25 	15 	25
Dancer 	60 	10 	10 	30 	30 	24 	26 	15 	20
Paladin (M) 	60 	25 	26 	24 	30 	25 	25 	15 	25
Paladin (F) 	60 	23 	27 	25 	30 	24 	26 	15 	25
Great Knight (M) 	60 	28 	24 	24 	30 	29 	25 	15 	25
Great Knight (F) 	60 	26 	26 	25 	30 	28 	26 	15 	25
General (M) 	60 	29 	27 	24 	30 	30 	25 	15 	25
General (F) 	60 	27 	28 	25 	30 	29 	26 	15 	25
Hero (M) 	60 	25 	30 	26 	30 	25 	22 	15 	25
Hero (F) 	60 	24 	30 	26 	30 	24 	24 	15 	25
Swordmaster (M) 	60 	24 	29 	30 	30 	22 	23 	15 	20
Swordmaster (F) 	60 	22 	29 	30 	30 	22 	25 	15 	20
Assassin (M) 	60 	20 	30 	30 	30 	20 	20 	15 	20
Assassin (F) 	60 	20 	30 	30 	30 	20 	20 	15 	20
Rogue 	60 	20 	30 	30 	30 	20 	20 	15 	20
Sniper (M) 	60 	25 	30 	28 	30 	25 	23 	15 	20
Sniper (F) 	60 	24 	30 	29 	30 	24 	24 	15 	20
Ranger (M) 	60 	25 	28 	30 	30 	24 	23 	15 	25
Ranger (F) 	60 	23 	28 	30 	30 	22 	25 	15 	25
Wyvern Lord (M) 	60 	27 	25 	23 	30 	28 	22 	15 	25
Wyvern Lord (F) 	60 	25 	26 	24 	30 	27 	23 	15 	25
Wyvern Knight (M) 	60 	25 	26 	28 	30 	24 	22 	15 	25
Wyvern Knight (F) 	60 	24 	27 	29 	30 	23 	23 	15 	25
Sage (M) 	60 	28 	30 	26 	30 	21 	25 	15 	20
Sage (F) 	60 	30 	28 	26 	30 	21 	25 	15 	20
Mage Knight (M) 	60 	24 	26 	25 	30 	24 	25 	15 	25
Mage Knight (F) 	60 	25 	24 	25 	30 	24 	28 	15 	25
Bishop (M) 	60 	25 	26 	24 	30 	22 	30 	15 	20
Bishop (F) 	60 	25 	25 	26 	30 	21 	30 	15 	20
Druid (M) 	60 	29 	26 	26 	30 	21 	28 	15 	20
Druid (F) 	60 	29 	26 	26 	30 	20 	29 	15 	20
Summoner (M) 	60 	27 	27 	26 	30 	20 	28 	15 	20
Summoner (F) 	60 	27 	27 	26 	30 	20 	28 	15 	20
Journeyman (3) 	60 	26 	29 	28 	30 	23 	23 	15 	20
Recruit (3) 	60 	23 	30 	29 	30 	22 	26 	15 	20
Pupil (3) 	60 	29 	28 	27 	30 	21 	26 	15 	20
Manakete (M) 	60 	20 	20 	20 	30 	20 	20 	15 	25
Warrior 	60 	30 	28 	26 	30 	26 	22 	15 	25
Berserker 	60 	30 	29 	28 	30 	23 	21 	15 	25
Falcoknight 	60 	23 	25 	28 	30 	23 	26 	15 	25
Valkyrie 	60 	25 	24 	25 	30 	24 	28 	15 	25
Necromancer 	60 	30 	25 	25 	30 	30 	30 	15 	25
