,file_name,path,line_count
0,header.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/,16
1,bss2_2.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/,225
2,bss3.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/,685
3,bss.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/,931
4,entry_point.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/,38
5,bss2.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/,114
6,appendGfx_message.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/nonmatchings/msg_draw/,4934
7,unmaptlball.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,34
8,guNormalize.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,36
9,probetlb.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,65
10,padding.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,10
11,osInvalDCache.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,63
12,guMtxF2L.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,45
13,osWritebackDCacheAll.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,27
14,exceptasm.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,842
15,bcopy.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,232
16,guMtxIdentF.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,36
17,guTranslateF.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,32
18,getcause.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,17
19,guScaleF.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,36
20,guMtxCatF.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,78
21,decode_yay0.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,63
22,parameters.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,83
23,osWritebackDCache.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,50
24,setfpccsr.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,16
25,guMtxL2F.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,45
26,unmaptlb.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,29
27,interrupt.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,53
28,guTranslate.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,68
29,maptlbrdb.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,37
30,setsr.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,17
31,setintmask.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,127
32,bcmp.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,90
33,skapi.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,200
34,guScale.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,52
35,bzero.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,59
36,setwatchlo.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,17
37,osInvalICache.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,50
38,getsr.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,17
39,maptlb.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,67
40,guMtxIdent.s,/home/matt/Desktop/papermario-dx/ver/ique/asm/os/,37
41,header.s,/home/matt/Desktop/papermario-dx/ver/us/asm/,16
42,bss2_2.s,/home/matt/Desktop/papermario-dx/ver/us/asm/,225
43,bss3.s,/home/matt/Desktop/papermario-dx/ver/us/asm/,685
44,bss.s,/home/matt/Desktop/papermario-dx/ver/us/asm/,974
45,entry_point.s,/home/matt/Desktop/papermario-dx/ver/us/asm/,35
46,boot.s,/home/matt/Desktop/papermario-dx/ver/us/asm/,789
47,bss2.s,/home/matt/Desktop/papermario-dx/ver/us/asm/,114
48,guMtxCat.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,39
49,osUnmapTLB.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,25
50,__osGetSR.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,13
51,guNormalize.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,31
52,osMapTLBRdb.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,32
53,padding.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,10
54,__osSetWatchLo.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,14
55,osInvalDCache.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,59
56,guMtxF2L.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,43
57,osWritebackDCacheAll.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,23
58,exceptasm.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,743
59,osGetCount.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,14
60,__osSetCompare.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,13
61,bcopy.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,229
62,guMtxIdentF.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,34
63,guTranslateF.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,34
64,osUnmapTLBAll.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,28
65,__osRestoreInt.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,18
66,guScaleF.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,34
67,guMtxCatF.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,76
68,decode_yay0.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,59
69,osMapTLB.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,64
70,parameters.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,37
71,osWritebackDCache.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,46
72,setfpccsr.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,14
73,guMtxL2F.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,43
74,guTranslate.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,66
75,setsr.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,14
76,bcmp.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,88
77,guScale.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,58
78,bzero.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,57
79,osSetIntMask.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,56
80,osInvalICache.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,46
81,__osGetCause.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,13
82,guMtxIdent.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,34
83,__osDisableInt.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,39
84,__osProbeTLB.s,/home/matt/Desktop/papermario-dx/ver/us/asm/os/,60
85,header.s,/home/matt/Desktop/papermario-dx/ver/pal/asm/,16
86,bss2_2.s,/home/matt/Desktop/papermario-dx/ver/pal/asm/,225
87,bss3.s,/home/matt/Desktop/papermario-dx/ver/pal/asm/,688
88,bss2.s,/home/matt/Desktop/papermario-dx/ver/pal/asm/,114
89,msg_copy_to_print_buffer.s,/home/matt/Desktop/papermario-dx/ver/pal/asm/nonmatchings/msg/,1359
90,dma_load_msg.s,/home/matt/Desktop/papermario-dx/ver/pal/asm/nonmatchings/msg/,44
91,appendGfx_message.s,/home/matt/Desktop/papermario-dx/ver/pal/asm/nonmatchings/msg_draw/,4932
92,popup_menu_update.s,/home/matt/Desktop/papermario-dx/ver/pal/asm/nonmatchings/8a860_len_3f30/,2117
93,filemenu_draw_contents_choose_name.s,/home/matt/Desktop/papermario-dx/ver/pal/asm/nonmatchings/filemenu/filemenu_createfile/,569
94,filemenu_get_menu_message.s,/home/matt/Desktop/papermario-dx/ver/pal/asm/nonmatchings/filemenu/filemenu_msg/,16
95,filemenu_yesno_handle_input.s,/home/matt/Desktop/papermario-dx/ver/pal/asm/nonmatchings/filemenu/filemenu_yesno/,712
