,file_name,path,line_count
0,MPlayDef.s,/home/matt/games/fe8/fireemblem8u/include/,430
1,data_banim_terrain.s,/home/matt/games/fe8/fireemblem8u/data/,569
2,sio_tactician.s,/home/matt/games/fe8/fireemblem8u/data/,76
3,const_data_DAD68.s,/home/matt/games/fe8/fireemblem8u/data/,41
4,data_minimap.s,/home/matt/games/fe8/fireemblem8u/data/,17
5,const_data_sio.s,/home/matt/games/fe8/fireemblem8u/data/,13
6,const_data_chapter_maps.s,/home/matt/games/fe8/fireemblem8u/data/,576
7,data_9A31F8.s,/home/matt/games/fe8/fireemblem8u/data/,566
8,const_data_1C0AFC.s,/home/matt/games/fe8/fireemblem8u/data/,65
9,data_5A9F48.s,/home/matt/games/fe8/fireemblem8u/data/,1428
10,data_A01CC4.s,/home/matt/games/fe8/fireemblem8u/data/,217
11,generic_icon.s,/home/matt/games/fe8/fireemblem8u/data/,34
12,data_B12A60.s,/home/matt/games/fe8/fireemblem8u/data/,66
13,banim-efxlvupfx.s,/home/matt/games/fe8/fireemblem8u/data/,208
14,data_FE0000.s,/home/matt/games/fe8/fireemblem8u/data/,5
15,data_A21658.s,/home/matt/games/fe8/fireemblem8u/data/,157
16,const_data_D8714.s,/home/matt/games/fe8/fireemblem8u/data/,49
17,data_FFF000.s,/home/matt/games/fe8/fireemblem8u/data/,5
18,trig_rodata.s,/home/matt/games/fe8/fireemblem8u/data/,7
19,data_bg.s,/home/matt/games/fe8/fireemblem8u/data/,661
20,data-ekrdragon.s,/home/matt/games/fe8/fireemblem8u/data/,21
21,const_data_unit_icon_move.s,/home/matt/games/fe8/fireemblem8u/data/,18816
22,data_banim_5B9D5C.s,/home/matt/games/fe8/fireemblem8u/data/,3494
23,const_data_efxutils.s,/home/matt/games/fe8/fireemblem8u/data/,2
24,data_banim.s,/home/matt/games/fe8/fireemblem8u/data/,30411
25,data_AA6BFA.s,/home/matt/games/fe8/fireemblem8u/data/,74
26,sio_main.s,/home/matt/games/fe8/fireemblem8u/data/,187
27,data-ekrgauge.s,/home/matt/games/fe8/fireemblem8u/data/,51
28,const_data_205714.s,/home/matt/games/fe8/fireemblem8u/data/,65
29,data_A2EEF0.s,/home/matt/games/fe8/fireemblem8u/data/,61
30,data_map_anim_frames.s,/home/matt/games/fe8/fireemblem8u/data/,585
31,const_data_DB034.s,/home/matt/games/fe8/fireemblem8u/data/,25
32,data_A3E4D4.s,/home/matt/games/fe8/fireemblem8u/data/,1163
33,data_5A92E0.s,/home/matt/games/fe8/fireemblem8u/data/,735
34,data_99D6DC.s,/home/matt/games/fe8/fireemblem8u/data/,81
35,data_B1FE7C.s,/home/matt/games/fe8/fireemblem8u/data/,10727
36,data_item_icon.s,/home/matt/games/fe8/fireemblem8u/data/,678
37,const_data_efxmagic_DC944.s,/home/matt/games/fe8/fireemblem8u/data/,32
38,data_A195B0.s,/home/matt/games/fe8/fireemblem8u/data/,237
39,const_data_DAEF0.s,/home/matt/games/fe8/fireemblem8u/data/,5
40,data_8B363C.s,/home/matt/games/fe8/fireemblem8u/data/,365
41,const_data_unit_icon_wait.s,/home/matt/games/fe8/fireemblem8u/data/,429
42,banim-efxmagic-fire.s,/home/matt/games/fe8/fireemblem8u/data/,172
43,opanim.s,/home/matt/games/fe8/fireemblem8u/data/,457
44,data_AA7760.s,/home/matt/games/fe8/fireemblem8u/data/,129
45,const_data_D9F18.s,/home/matt/games/fe8/fireemblem8u/data/,141
46,data_5B65C0.s,/home/matt/games/fe8/fireemblem8u/data/,83
47,data_chap_title.s,/home/matt/games/fe8/fireemblem8u/data/,261
48,data-ekrdk2.s,/home/matt/games/fe8/fireemblem8u/data/,373
49,data_A1FAF4.s,/home/matt/games/fe8/fireemblem8u/data/,2
50,data_59E8E0.s,/home/matt/games/fe8/fireemblem8u/data/,289
51,data_map_change.s,/home/matt/games/fe8/fireemblem8u/data/,1366
52,data_portrait.s,/home/matt/games/fe8/fireemblem8u/data/,1932
53,banim-efxhitfx.s,/home/matt/games/fe8/fireemblem8u/data/,476
54,data_banim_pal.s,/home/matt/games/fe8/fireemblem8u/data/,433
55,mapanim_eventcall.s,/home/matt/games/fe8/fireemblem8u/data/,327
56,data-ekrdk.s,/home/matt/games/fe8/fireemblem8u/data/,165
57,data_banim_78D500.s,/home/matt/games/fe8/fireemblem8u/data/,1614
58,const_data_E162A.s,/home/matt/games/fe8/fireemblem8u/data/,81
59,data_opanim_gfx.s,/home/matt/games/fe8/fireemblem8u/data/,1614
60,data_A167C8.s,/home/matt/games/fe8/fireemblem8u/data/,101
61,banim-ekrtriangle.s,/home/matt/games/fe8/fireemblem8u/data/,526
62,banim-ekrmainminifx.s,/home/matt/games/fe8/fireemblem8u/data/,34
63,const_data_banimekrdk.s,/home/matt/games/fe8/fireemblem8u/data/,7
64,data_banim_5B9D6C.s,/home/matt/games/fe8/fireemblem8u/data/,37
65,data_opsubtitle.s,/home/matt/games/fe8/fireemblem8u/data/,61
66,data_map_anim.s,/home/matt/games/fe8/fireemblem8u/data/,56
67,data_btl_bg.s,/home/matt/games/fe8/fireemblem8u/data/,684
68,banim-efxmagic-thunder.s,/home/matt/games/fe8/fireemblem8u/data/,65
69,banim_warm_ax1_2_motion.s,/home/matt/games/fe8/fireemblem8u/data/banim/,1614
